"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915","FeatureID"
"Faecalibacterium prausnitzii",5557520,3426422,3703353,1407572,6735145,216472,1293365,727505,79048,6062916,3146853,5728387,688926,753668,3563471,3194326,1211437,5217003,396188,4382294,7893452,2987991,4070395,7249092,4113441,0,471337,2378211,478702,6397027,1686946,89657,5407346,3290,2880360,1850652,3786325,476780,1344534,2962507,2450310,694690,763667,6881,1822454,4284166,451563,1427650,0,1281248,46276,155971,6984358,179221,1509,568759,399515,7246425,1723674,2631373,265421,575488,2420043,197399,3099199,458079,436350,2666100,8242555,1373618,5903655,7151598,1027312,1025831,1106177,3877065,415542,544144,426316,484625,2531526,16875,198645,2125883,19287,1557724,5105628,162950,1787542,1263805,7902583,133828,825981,1064749,6540121,812789,877411,6557198,3743425,274998,446,3020192,231737,2840963,6177125,1813815,1231168,2032744,30013,1741384,326631,2663596,4486508,5892262,506845,750451,3542285,4330262,4447693,3326131,8548111,4388733,2612909,5142233,639,1107263,7243395,5941010,3845493,3669355,2119058,99437,6447911,352017,158957,1393852,2896207,2817524,6688029,6732142,567992,13106,732290,4253871,3342270,2222350,1481358,25743,9615275,3517206,7589763,857084,3085318,752338,"Faecalibacterium prausnitzii"
"Streptococcus salivarius",4501905,91870,106369,78931,136315,138692,25037,75100,37884,49754,23833,69084,3001,232136,23373,43592,244372,52678,7169,46453,89718,21031,162223,1663354,36315,0,0,8164,876629,4208034,2512974,56506,214714,31860,261231,90312,760553,1641,354365,121758,249418,23765,167105,41277,23620,143794,3352842,28623,1327464,97967,96270,3649,591433,1520707,200008,104801,11919,117612,155147,72977,124080,663625,142698,37693,25714,108700,16473,13399,842,30840,22764,5263,4564,614993,78781,165319,14131,42079,21563,70819,55121,9358,4694,3732140,32627,108885,2690,54752,84732,590137,108294,1167587,1414902,957430,164390,410772,64787,471527,98652,0,80312,1041346,55707,18821,204687,186943,7556,21889,161126,21644,470058,322104,47115,25061,744004,191994,135316,1043953,56649,0,6455,172372,551940,330936,3130,280170,11081,441126,415407,105937,548764,263888,31956,2546355,69597,19891,40028,0,6140,21188,10562,103009,231393,0,1025,106145,15403,99900,0,87999,37337,219979,105588,5608,"Streptococcus salivarius"
"Anaerostipes hadrus",3379283,4992315,5022513,540874,1595369,2541382,505191,7870210,251986,6881693,1825330,1256206,1169108,4077815,1608455,987484,2395867,1408166,248128,1410709,1619622,370640,3064205,2006715,693554,10501238,288121,4455304,198644,1980601,5399536,12861272,1441755,33213498,137430,1342835,16781144,0,465595,414189,3123496,787712,1315061,14644353,807323,1091898,6820621,1540713,1428997,162274,4025832,2933233,281222,139915,21163952,3152858,21764579,3465363,1206416,2105388,2035901,1089352,554817,12469266,3005952,5448,212920,65870,842649,493391,1628717,91468,194003,650719,4012836,462353,395043,8970608,2705095,2249793,427386,2488795,1024463,1161832,6426079,4271005,1134307,3515104,35395,2405278,3334813,5335449,4628366,2270809,3051461,2773952,7511123,688797,519114,35857582,3089843,2134542,1680560,2961880,5907559,2898379,1162017,2614450,4004078,1183355,2854979,264792,479877,2187683,2868555,1490747,3860889,171185,2083375,198864,461133,3513075,1128486,797062,7101,265116,296543,804328,567544,3517476,63961,15220,1047629,377649,5763945,372251,99542,4635,214,1331213,3386793,81593,1626526,577654,1844851,3700313,115529,1543329,280412,1786383,69820,4016101,80020,327141,"Anaerostipes hadrus"
"Bacteroides stercoris",2134734,0,7228,300730,33915,0,0,0,87189,0,0,194503,0,0,0,12059,0,3011,0,1585,0,0,712341,0,28340,0,0,285696,7167,0,0,0,10165,1618,368796,0,0,0,0,45205,17846,33773,31709,0,0,3671,0,19759,0,0,0,9177,73699,0,0,0,0,0,0,0,0,791,235107,93691,0,197,0,715,0,0,713456,96124,13412,0,7670,1153979,23437,0,0,462,0,3641,6036,336671,2445,0,0,3914,0,75877,30085,0,0,17291,0,0,9281,0,0,2244,0,7725,109152,12355,538685,0,9159,0,0,340657,1476,0,0,0,0,1299,266279,21476,106528,0,0,0,0,122414,17110322,39955,1485975,3552755,172159,26766,142367,12141,0,214514,826,0,0,23628,0,867730,2034358,222397,2854,0,0,1709,10534786,805176,0,693078,1464,1417,1094749,0,"Bacteroides stercoris"
"Collinsella aerofaciens",1875111,2436224,1626225,1104594,4128586,9975259,11905273,3050,5325756,2225724,1774026,1456502,1665342,5690437,2542581,4421494,6950645,4057839,1791099,1980731,10225222,3852851,1092690,4167476,4147613,3699,1383,3688742,1399408,2391955,1027743,1261,6402154,2117,1543648,408748,2949509,9165271,626634,5249991,7491657,3786019,8180722,1716,5926,882578,382897,5216558,6173,6868051,6257,3386375,5274019,740186,2879,4406977,934490,5734578,3086656,304,8252,58056,456712,4572087,4205750,4450513,4366804,540711,1499154,879260,640320,961540,4060811,229446,4393623,48078,3425500,492325,5413286,6733824,2844482,3556946,2979793,2297973,4863451,1648319,1330543,1403,2586928,5343924,2265,0,4167165,798232,0,3569484,1518,5064,3602197,1362,383,3297656,6756295,1696768,2916484,10784075,7798562,81279,6173924,5545306,5273632,0,764933,2978388,3039208,9227683,6879799,1830604,0,4715987,905673,1082877,1297,714862,516338,400177,1689520,3445352,3296751,1288621,368575,39577,2436042,809347,15611,3762696,232915,42228,4184,2891,83919,321471,5718,3027,627710,1405,0,3603823,199725,431756,718752,0,1841122,1672354,"Collinsella aerofaciens"
"Bifidobacterium longum",1600270,1566408,2537241,491720,3397989,0,235387,0,305501,0,13001,2258960,702524,41073,2901899,2058565,9615399,1691316,0,45807,0,1312,1696835,480312,5079556,0,16263703,1833726,346766,1142082,278316,4199333,3477753,890,1715552,61960,1207226,63480,3141842,428961,2992450,1343676,654535,0,1095541,438588,3699456,111145,3996841,2911083,1056943,2393874,3337666,0,0,4259738,695367,2802408,1797770,0,1244466,21083,316414,4129919,2389327,13247866,1029652,714363,585181,834572,29528,296347,5243406,718229,3439309,489514,7088862,1849591,5254410,1623218,0,3741,5778701,1534271,4997170,20351526,1336343,15269488,350951,1679762,1680498,0,609113,614130,0,198684,211945,0,1432648,1060404,0,2578638,347724,373,6113576,1655390,1594122,0,6320930,1689186,8482984,4053592,0,6981395,745344,3987440,3084802,2960,1313260,616232,604957,1274083,0,26529,1295,995682,251382,993915,1962352,1062659,54396,79335,1586690,5093078,37226,2613686,1376,705589,0,3129573,1489698,24576,2467,821163,305828,486,0,812615,96126,248269,279694,1684972,586518,1357404,"Bifidobacterium longum"
"Phocaeicola plebeius",1543442,0,0,0,0,0,0,0,0,97271,0,0,32907,0,180670,5946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12067,0,0,962,0,6737,0,0,0,0,11162,0,2051,0,0,149391,0,0,0,1489,0,12583,348593,0,0,0,0,0,0,0,0,9616,88445,0,0,0,0,0,0,0,0,499612,0,0,14920,0,0,0,0,14700,0,0,0,0,0,0,0,0,0,0,11466,0,0,120179,0,0,0,0,0,0,0,0,0,0,4758,9735,0,0,0,0,0,0,0,0,0,0,0,4773,7780,68082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phocaeicola plebeius"
"Phocaeicola vulgatus",1537307,5130,342887,545275,505050,185787,21186,0,5832,169470,1242874,234352,213972,23102,549024,13852,4112,75316,2245280,429250,840456,2759,1584759,989269,330488,125301,517932,851437,242810,627655,267304,50880,138818,487,298556,13742436,416960,3858873,220695,907477,24683,36519,224088,637861,102790,806125,883,337095,23608,1217,6540,405337,375498,12500,0,0,487006,411164,697192,120570,86290,1394335,998755,679,111063,536851,1224865,7547577,953604,3427765,7863513,1435303,63877,10772048,1791856,11754570,739853,8020,1939,11414,6980890,450,29185,1472335,5913,314727,188783,38394,123425,471537,195095,37478,147484,1573788,388586,0,0,6240,65656,0,17773,187824,100619,225478,284235,762,3319,1336,7680,134912,0,1791,1998,42350,1573,3825,69069,35500,457737,604831,960086,75997,4341921,163042,0,204715,6872196,120067,794841,312930,1040783,179391,5140857,31257,560167,1643792,1041793,518178,19061,2740908,617487,37768933,7970206,0,25248,322416,3153566,711,5069185,1689628,1446617,276392,685879,994689,"Phocaeicola vulgatus"
"Dorea longicatena",1522662,2955614,776326,724756,2728683,0,4094949,0,1627956,2372220,3513680,1120321,4848,2085924,762,11104088,4123900,2238783,160946,1366064,1916260,1109040,737700,783508,1477385,25584,211165,312909,581260,4812972,4509690,14267879,3371629,989677,397002,1364070,1046052,669103,270837,1534120,2583074,2635615,6099769,0,1755029,760275,0,4645472,444185,2125946,1453294,682742,2729567,829372,0,2317974,51643,1164529,930124,2079276,12378,1642678,628521,2562208,1823925,1467476,916712,464849,848308,140061,1336,631536,791764,358922,763992,14694,449421,2538243,3586062,1714186,652207,628417,771125,1053980,1700031,1380670,1050251,1363655,1302063,1727769,1096943,0,2352331,255456,0,1780006,671150,1169911,1502748,108677,0,1267095,1858737,658050,824778,1772252,2704012,570162,751375,668960,1518924,0,764600,1261285,2970531,5599409,2571,456348,0,446870,198237,754652,497272,334875,0,150930,325632,1817032,287004,2483955,227721,4150,1735872,1714397,1690860,800713,261540,1888,1736,591979,2582808,92239,368966,909516,102633,579732,230600,0,65205,244578,520127,0,563008,310554,"Dorea longicatena"
"Eubacterium sp. CAG:251",1487988,0,1438210,767280,3906722,0,0,0,0,43049,905067,0,0,0,3129171,3734697,0,1296943,0,2017138,0,0,0,0,0,0,86658,0,0,0,0,0,0,1359,0,0,4978829,0,2268851,2065,2066073,3838943,0,0,0,5926843,0,14993,0,194975,0,0,0,0,6976,353051,487894,627527,1254773,0,0,2438,746,10993,0,0,0,411670,0,0,405724,1320,0,0,0,4445,0,2077689,0,0,3352,0,0,1257650,646967,0,0,0,496013,1609949,0,1811663,531506,4822491,0,611082,1504793,0,0,0,0,0,0,1629301,1425407,0,0,1075522,0,0,0,0,0,0,1186442,2713269,0,0,0,458249,88770,650432,0,0,0,159949,0,750,0,0,0,0,0,134,0,1633831,0,0,0,0,0,0,0,0,0,0,0,0,489494,0,849938,0,794429,0,"Eubacterium sp. CAG:251"
