"","S112","S118","S121","S126","S127","S131","S137","S141","S143","S144","S146","S153","S155","S158","S186","S187","S193","S194","S195","S198","S200","S205","S224","S225","S227","S229","S231","S235","S239","S243","S244","S248","S249","S258","S263","S264","S268","S269","S278","S286","S288","S290","S297","S299","S304","S305","S312","S317","S327","S330","S332","S334","S342","S344","S347","S349","S350","S353","S354","S356","S365","S367","S370","S372","S378","S380","S381","S384","S389","S393","S395","S397","S398","S420","S421","S422","S424","S432","S434","S436","S439","S441","S446","S451","S456","S457","S458","S462","S463","S468","S470","S472","S475","S476","S478","S479","S483","S484","S485","S487","S488","S495","S497","S51","S517","S524","S526","S529","S53","S530","S536","S54","S543","S547","S550","S551","S552","S558","S561","S563","S577","S58","S584","S587","S589","S59","S591","S598","S60","S600","S602","S604","S614","S617","S618","S628","S638","S640","S643","S646","S655","S77","S80","S88","S92","FeatureID"
"Faecalibacterium prausnitzii",3244974,1534798,2996848,949990,3486694,540279,305468,2330234,1674628,15140,1798109,6116176,9450467,810998,2315587,5919426,2555300,2529020,4040895,7749298,1940322,187026,513664,4023830,1349907,4247401,452561,1722897,1181965,3185969,1142881,1582073,587672,1278358,416494,1010815,3215531,829430,2819119,1664020,601584,140729,1443577,1521966,3156672,2111927,690318,1237803,2976654,1663928,1050026,216666,1673314,657068,236942,849193,77573,2306498,499793,990799,314300,1350996,2374032,1032663,1159067,2157988,1286921,2042694,3474775,1091216,1770040,523595,1623140,2869,1010497,4952234,1446099,5065282,7529949,1596567,1781424,1962122,1153874,1037772,3916816,13578240,5873628,4864814,1389150,4297954,2289254,5026392,678519,7983681,8420518,2111734,6527894,2467360,1513446,3222802,2047632,2539499,3998750,1076676,1578621,1246159,1545396,3278501,1529064,6610595,2007525,6301736,3807055,10070967,114676,6874674,1894117,3525837,2277,3341030,1414310,224631,4554402,3041942,4835376,2123540,4312510,1081634,2433014,2797919,3317423,0,1197685,1794690,960100,966009,691623,32161,880669,536939,1062165,4558195,2169611,1697791,1421904,"Faecalibacterium prausnitzii"
"Dorea longicatena",1714357,877681,756695,159788,596179,201403,156022,290314,227562,3674051,313543,947251,385271,437644,416464,312485,255821,185315,305440,704366,521995,0,346723,407291,178970,211802,2797,0,270689,249437,734904,968681,101304,425198,177996,257603,513075,651437,536796,110645,94766,635697,258532,383040,1288907,531582,3910284,3638879,725707,0,4554677,906458,270217,389439,101572,133257,865328,1535273,1190234,694213,14366,395519,182919,968413,328536,1391894,382919,489896,532776,209184,261450,199851,698542,50172,1115347,972695,579532,0,0,30340,116873,1676019,294391,372948,194488,1907016,1590909,245390,865190,370440,158798,544482,134379,803541,1490820,2620142,1646533,1081184,16211,358937,654865,1133369,1306601,826358,445272,961742,1656865,1303986,206071,951071,2104453,1118213,317186,1406822,0,1066945,220973,170472,0,873239,96741,783818,767569,447905,745877,1390789,0,141720,1035254,1119917,951582,538607,169019,154476,251216,110208,89786,0,89674,86185,195068,404297,189043,855795,1021801,"Dorea longicatena"
"Fusicatenibacter saccharivorans",1508106,451482,844276,587310,226887,497091,108343,1405295,1063133,1668314,559634,1202138,1862697,1049625,918257,2485406,1032631,652321,999781,832206,4006127,533422,762583,1524667,427867,532575,209218,0,155643,480191,868616,717877,131342,928468,102,766836,1044715,232046,913950,416924,1328635,662684,155620,353184,1017279,790739,1982587,2558387,3318428,0,143650,288369,167185,991766,466938,304299,431423,1057641,636479,745417,24924,290756,268226,974532,456093,420476,342533,960989,704383,346259,1374588,238102,839419,1073101,1377535,2388571,526528,2025775,1145608,1796067,0,2119066,504660,755906,4176728,1762647,1456121,371834,389696,162706,298388,1408335,1572750,2158809,919373,1414219,1263815,442240,387766,1534882,651255,1205417,2358136,512812,745346,785851,2070073,1290771,560048,844142,1650045,53499,1409889,1282083,173746,3440516,518059,600863,1141899,417563,324518,260616,694438,1809551,1582717,102531,526818,1066844,969643,1227500,1336990,220066,637052,573253,303527,904316,25316,848640,40467,13844,169788,1077293,733806,544783,371762,"Fusicatenibacter saccharivorans"
"Blautia obeum",1421497,85561,66442,84506,485651,1239082,22152,214082,229410,1144254,362075,296269,283171,1007876,83,108536,83709,45361,102394,93841,564070,42380,18947,631895,300089,412311,1761255,165412,105627,123719,102995,66196,84398,177142,6678,104820,111008,460733,182509,87140,255044,602998,98333,505647,1409186,899972,966431,4899067,100909,391784,1655833,196842,127364,119757,2877163,1016709,286345,111082,0,73091,192746,94532,229615,127588,70563,991453,247835,88310,1374633,194067,212730,19475,1984,160477,684652,1110186,561600,30523,4056708,2738,122410,116208,64035,337219,1392949,496426,170575,33467,935960,184233,116360,575780,116987,165025,399468,219781,1572556,697172,301892,992814,68427,663443,58858,4534,135933,191395,632858,1429357,60683,1625847,489006,229531,630889,227537,16505,1391657,502652,307447,1428102,397364,46105,338062,158717,480007,139799,92531,77973,71161,435364,322260,471640,0,333081,34064,467766,34293,24151,539085,128895,587121,99653,353158,205721,284867,740002,"Blautia obeum"
"Coprococcus comes",1252069,89359,292097,164739,238205,639093,157579,458467,14911,840627,234183,677974,559271,209621,376277,756492,358503,306185,522450,472307,101749,0,79332,456428,156691,174622,56692,139290,306994,267894,337246,664697,71326,694285,56822,200171,332466,453257,508757,317175,508724,0,137776,271615,873079,958952,890998,4452398,84190,145549,64406,396450,149761,252095,396730,290173,404243,1066283,0,1100542,43807,638967,0,0,415012,259510,388547,695012,1046281,178011,0,241701,76141,180046,0,1369781,67203,0,0,226732,70586,485034,87389,293625,146095,35657,472196,449782,354667,547910,31196,1151913,101388,626355,426451,533912,661236,0,114233,373460,442492,1353591,952273,339184,218188,1199721,588150,1637413,110070,998387,147892,285824,470857,1015629,0,902751,184784,218032,649775,75301,59440,297516,401611,293396,2141996,489791,644838,113408,628014,0,1155465,161634,217107,114005,181614,180608,134523,4089,168132,293904,139440,543278,326597,386483,0,"Coprococcus comes"
"Bacteroides uniformis",1110745,569320,420107,1271092,484448,781163,402115,806614,574564,7471596,1129522,1596611,2454612,6176456,2259379,809660,3202252,1482624,0,1146532,662766,10300894,1520087,773687,332366,343274,370046,919712,13880,1052225,0,94863,87964,1207187,413670,898779,406318,466376,356351,1847073,2598406,1317877,121004,2424002,318696,3003318,577636,20513261,933932,890400,227062,0,431987,4109788,52046,151532,175265,141789,69732,4900574,2826400,339084,0,0,294754,289467,365689,546072,0,45817,886465,3258898,3053861,1789397,858598,1203008,1804078,1276944,4206380,2630512,10287212,1207771,2836461,1617902,1032547,399970,295378,975616,476170,13140,337233,357185,463045,4755424,2420083,9822,2533652,771042,90227,1060687,519956,839703,944886,254493,735580,764546,2140211,772803,390927,146440,453945,1021665,3271010,1446467,1113735,3685915,1315732,1072152,1677368,945851,752835,318826,786936,126886,164394,362547,3074547,1288178,1298612,400968,2092789,354345,146077,584050,554163,410520,1246155,0,855466,0,374666,919467,819426,22148,92867,"Bacteroides uniformis"
"Collinsella aerofaciens",1087110,90129,524941,1006961,433200,1989449,94886,380753,262753,2427484,474180,1683343,992055,544040,1049255,1551949,1662549,301027,1061,692478,3759622,0,51915,229794,356833,240753,792337,228546,960123,533738,729316,652625,16654,535243,316028,419636,606389,0,630939,195380,555480,915454,122963,397790,1272280,343067,12266486,11074,536690,9118,2780602,870683,125283,385360,1719881,920632,545067,180521,0,310174,225971,592352,125640,285242,125896,784907,851772,431097,1035764,289191,237983,86703,0,1351707,610594,1077273,1970208,1027454,4832,1492050,327,2145544,1345,1098058,1494691,3229481,4293304,282895,1904983,1265274,154301,4456,191095,9697,2733128,2102244,1106895,2051266,237988,3070139,726881,3465543,859408,323131,374559,1622482,1767083,3748942,100036,1795163,5592133,593981,1168038,1289991,435146,910,2111006,1094585,0,1126023,435582,611517,1302459,1083308,1989371,190997,467006,1754837,1443026,2214,1397372,198,786786,0,247595,203436,50703,0,487140,366240,194082,164501,474546,705314,590107,"Collinsella aerofaciens"
"Bifidobacterium adolescentis",804077,157342,599572,776835,327930,0,15722,88289,1009359,2502573,221094,350753,687830,400097,2230566,556704,938100,0,0,455387,1315568,0,14906,204885,450423,0,0,0,504588,1999554,504492,965978,247740,88617,0,178818,359721,0,466089,13188,0,87601,126110,0,3680616,118000,1447707,9842,251902,0,0,1321343,410817,0,0,4435831,394274,619183,6415060,1274961,21538,628843,0,0,33956,196701,425670,3307565,557859,1618497,234755,269215,0,170467,15832,509991,6819,150866,910,0,0,6246028,0,0,3786,962814,12010713,0,2322289,893648,241652,0,108341,1316555,0,1054653,0,0,125448,680858,0,1985303,238854,491333,518722,2413127,0,6861731,1646272,2731227,1971988,409105,737583,6369606,0,1038264,2425844,0,0,1766478,532710,0,922039,608991,0,450577,521589,4423854,899210,1939990,96297,0,0,0,604816,251578,5191,0,124912,0,3386297,0,957721,60967,0,"Bifidobacterium adolescentis"
"[Ruminococcus] torques",789971,79182,229350,77198,112222,384454,165317,273620,12738,478229,72025,323225,294691,0,0,270444,174593,35033,399425,334631,0,0,42521,251840,187028,61965,419395,0,91860,34658,0,316213,147931,1187072,0,14365,90987,0,886627,5835,95473,1043554,23422,720735,141149,192535,4661975,3599303,500787,0,0,31248,25109,0,0,0,461395,456290,1699656,0,133294,37158,0,2181398,117195,306190,99808,140488,0,174760,0,215961,2055,227485,0,1212558,814510,0,1046823,1102969,0,584668,357631,947708,341270,909832,583496,133583,523612,432359,47133,1554226,8729,1145982,368545,271841,1793430,0,12479,145584,861081,3972967,476963,558242,356494,351517,1936882,642997,358895,305890,1075718,457288,364483,586402,520039,82571,276410,129581,0,87869,47589,277714,415807,217607,0,175342,0,71596,175511,818228,0,1251419,281243,48028,39346,53131,74488,0,28983,0,144542,184800,116411,1921412,121890,"[Ruminococcus] torques"
"[Eubacterium] rectale",482085,191767,1125,423645,87304,886434,110856,29139,4326391,657447,871026,17546,1246330,7586014,1788931,775493,90888,24026,9443018,3153069,152922,1224131,174847,873550,722172,2826610,120568,0,589021,5061376,7100721,2459996,65902,3240741,366,2193762,3872261,1828448,899949,257116,3419317,2386928,44126,903191,14695,68263,23605,0,207453,1477286,348526,1295760,131089,1370223,10075,231,17701,107346,1072784,0,964,222364,1862203,754421,281745,1609204,303772,2595493,53622,1605986,3969470,151149,1909179,3308818,3839132,10151835,269964,5195900,4426,34902,7057749,8658972,561460,21179,65158,528231,1311553,271497,6978915,1095797,12583,6994462,586310,848498,481114,843199,274079,0,124688,7755360,1054,104393,713,1259777,6784977,5373556,0,17921579,1999816,1601537,4845553,12099,1398,45712,875926,1520505,399592,1513441,7248114,2621868,117892,156768,593561,454660,2472505,4650,0,1092362,2155251,3487637,4420821,1677016,1450840,103997,4797337,0,1989,0,114379,0,2075810,0,1747141,146954,2677652,"[Eubacterium] rectale"
