"","DLF005-IE","DLM006-IE","DOM005-IE","DOM017-IE","MH0192","MH0221","MH0222","MH0234","MH0238","MH0245","MH0246","MH0252","MH0259","MH0260","MH0261","MH0262","MH0264","MH0265","MH0266","MH0268","MH0270","MH0271","MH0280","MH0281","MH0283","MH0284","MH0290","MH0293","MH0297","MH0298","MH0299","MH0301","MH0303","MH0308","MH0309","MH0310","MH0311","MH0314","MH0315","MH0319","MH0323","MH0325","MH0326","MH0327","MH0328","MH0329","MH0330","MH0332","MH0334","MH0335","MH0336","MH0337","MH0338","MH0339","MH0340","MH0341","MH0342","MH0343","MH0345","MH0346","MH0347","MH0348","MH0349","MH0350","MH0351","MH0354","MH0355","MH0356","MH0357","MH0358","MH0359","MH0360","MH0361","MH0362","MH0363","MH0364","MH0365","MH0366","MH0367","MH0368","MH0369","MH0370","MH0371","MH0372","MH0373","MH0374","MH0375","MH0376","MH0377","MH0378","MH0379","MH0381","MH0382","MH0383","MH0384","MH0385","MH0386","MH0387","MH0388","MH0389","MH0390","MH0391","MH0392","MH0393","MH0394","MH0395","MH0396","MH0397","MH0398","MH0399","MH0400","MH0401","MH0402","NLF002-IE","NLF009-IE","NLM009-IE","NLM025-IE","NOF002-IE","NOF007-IE","NOF013-IE","O2.CD1-0-PT","O2.CD1-0","O2.CD2-0-PT","O2.CD2-0","O2.CD3-0-PT","O2.UC1-1","O2.UC11-1","O2.UC12-1","O2.UC13-1","O2.UC14-1","O2.UC15-0","O2.UC15-1","O2.UC15-2","O2.UC16-1","O2.UC17-1","O2.UC18-1","O2.UC19-1","O2.UC2-1","O2.UC20-1","O2.UC21-1","O2.UC22-1","O2.UC23-1","O2.UC24-1","O2.UC26-1","O2.UC27-1","O2.UC28-0","O2.UC28-1","O2.UC28-2","O2.UC29-1","O2.UC3-1","O2.UC30-1","O2.UC31-1","O2.UC32-1","O2.UC35-1","O2.UC36-0","O2.UC36-1","O2.UC37-1","O2.UC38-1","O2.UC4-1","O2.UC40-1","O2.UC41-1","O2.UC43-1","O2.UC44-1","O2.UC46-1","O2.UC47-1","O2.UC48-1","O2.UC5-1","O2.UC6-0","O2.UC6-1","O2.UC6-2","O2.UC7-0","O2.UC7-1","O2.UC8-0","O2.UC8-1","O2.UC8-2","O2.UC9-1","V1.CD1-0-PN","V1.CD1-0-PT","V1.CD1-3-PN","V1.CD12-3","V1.CD2-0-PN","V1.CD2-0-PT","V1.CD20-0","V1.CD3-0-PN","V1.CD3-0-PT","V1.CD3-3-PN","V1.CD32-0","V1.CD32-4","V1.CD37-4","V1.CD4-0-PN","V1.CD4-0-PT","V1.CD40-0","V1.CD43-0","V1.CD44-0","V1.CD44-4","V1.CD45-0","V1.CD46-0","V1.CD48-0","V1.CD49-0","V1.CD5-0-PN","V1.CD50-0","V1.CD51-0","V1.CD52-0","V1.CD53-0","V1.CD54-0","V1.CD55-0","V1.CD6-0-PN","V1.CD6-0-PT","V1.CD7-0-PN","V1.CD8-0-PN","V1.FI01","V1.FI02","V1.FI03","V1.FI04","V1.FI05","V1.FI06","V1.FI07","V1.FI08","V1.FI09","V1.FI10","V1.FI11","V1.FI12","V1.FI13","V1.FI14","V1.FI15","V1.FI16","V1.FI17","V1.FI18","V1.FI19","V1.FI20","V1.FI21","V1.FI22","V1.FI23","V1.FI24","V1.FI25","V1.FI26","V1.FI27","V1.FI28","V1.FI29","V1.FI30","V1.FI31","V1.FI32","V1.FI33","V1.FI34","V1.FI35","V1.FI36","V1.FI37","V1.UC22-1","V1.UC38-4","V1.UC39-4","V1.UC40-1","V1.UC47-4","V1.UC54-4","V1.UC56-1","V1.UC58-4","V1.UC59-0","V1.UC59-4","V1.UC60-0","V1.UC63-0","V1.UC64-0","FeatureID"
"Phocaeicola plebeius",3801712,566,0,1217,0,0,279363,1661948,2869568,1500593,0,0,0,1528549,0,0,408378,388,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462231,0,0,0,718016,0,0,0,0,0,0,0,120831,0,0,0,0,0,0,0,0,780901,0,0,0,108625,0,0,0,0,0,0,1112,9463835,10254401,0,102647,0,0,0,0,0,0,0,0,0,0,0,0,0,2412192,0,0,0,156308,200150,2894484,0,0,0,0,881228,0,0,0,0,0,0,0,0,0,566288,0,0,0,749,371098,155,2632,0,0,0,0,0,0,6992144,11842,0,4098393,735,2104,1103559,3469720,3796,4342552,6826761,0,4646961,11426,0,0,1159423,4074034,244,0,1407,0,0,0,2916,14187102,18899,7516968,0,4964,0,0,0,183,2079634,0,1548,3713825,6102847,3499,13953160,11151990,17421573,12599921,7910851,0,1557,14568780,3474174,9948,0,1144823,664,3184086,30436,0,0,26936,0,8583,0,6679424,15033374,3441,0,0,666426,19367040,132856,448831,0,5284,3322,0,0,0,15567,7265135,2766,3166992,3723,4406628,26864,0,0,12416612,20723,20018017,8635751,19081,10326133,395,3792,19578,3692,832564,7303627,0,0,0,0,729,0,774280,0,0,0,0,108574,0,196711,960306,0,1044,0,1372296,0,0,0,0,1164788,1376,2113542,2712,184543,0,0,17138291,0,1359186,0,166910,44616,9171130,6266,"Phocaeicola plebeius"
"Bacteroides caccae",2388743,2040,2728,863,499888,0,267100,1116379,905756,0,1464465,609255,0,34174,0,8991467,6686,144404,1223527,0,1043888,1130525,2287596,1134071,23952,74908,0,698197,1118827,0,132600,0,478051,986063,0,954517,2724112,841697,0,1094661,1167924,0,1857834,9275338,335078,501163,22864,0,333199,0,0,0,390968,5971946,2158681,0,846773,0,120055,0,3106319,2352407,1094566,1219686,2309601,0,69352,0,0,0,4195317,0,2708362,928967,686066,2636298,610884,609251,565630,0,520334,0,0,11371350,2678996,2191361,1054159,0,1253418,1218153,0,693651,0,0,0,0,0,533366,1323252,165318,485320,1264217,3158751,0,0,1109994,0,0,1995374,226067,0,738367,0,0,269862,75,100897,0,414823,0,1070536,2003,1809466,306918,0,2007796,962559,350512,38519,175604,0,0,0,6241,240504,56645,0,195549,0,1651368,410956,0,62050,2204744,0,688535,1055066,239553,5045963,604494,58393,644995,502277,486210,571910,2532855,0,388601,0,151009,2050338,370,773734,4589680,4288352,419139,0,192195,810106,493755,0,0,486356,571060,870441,672173,1309083,0,3169101,0,1070706,863878,0,585,1181,0,118,0,166098,0,997,776163,358538,35884,74004,441308,0,0,990421,0,1433490,0,617378,0,1506983,948554,0,608158,0,65340,1223315,3079169,4523,2000696,2336653,17807,0,205524,14489,5454389,600009,1326316,511598,440466,401956,0,1613806,407268,0,462944,0,992023,0,185721,0,0,196268,1031427,4777,2603036,38930,1106545,0,142339,93996,1325756,170062,677023,731682,3273212,359602,312980,576037,6996,599642,10593833,0,6040,1709331,1053186,"Bacteroides caccae"
"Faecalibacterium prausnitzii",1640203,1685726,153680,553057,1083407,2957,5143222,9821917,3709172,6381999,4115116,3268323,7601850,4264608,1442546,605771,1475604,12085905,5529819,3955426,8837952,5799474,5189129,705099,3461884,3066500,2638155,5781282,4156454,5281287,1328294,819,5983106,1651136,3158807,3491446,202461,4631206,3077622,1889710,11145169,3038244,7369456,597526,1021803,5247331,2422894,1797327,4896639,683036,696372,5024240,1750553,1062717,1871604,564482,851553,869531,18297174,7714017,890351,0,1675570,4815690,2087418,1589633,6545418,5055324,2683902,386264,1705773,4500217,5626165,3245065,8608415,6935377,4024715,568878,3033310,2329125,3983645,0,4007664,198744,914920,3271973,2639638,3147450,11082909,3350697,3275662,3370547,510152,1515723,3168634,3593718,7066092,2645344,4093619,107576,3239009,4754803,4988073,1831513,1535735,5970561,3456563,7180439,5708784,3569136,6018929,3221402,3968343,1270778,1831024,959238,1143210,846648,1369406,1193405,846,1836748,0,3523386,0,433323,5856375,5027474,6172355,2489228,1926371,5652680,5265496,6230966,1456019,8378538,2027027,7044469,3948586,2664949,8245471,2074791,2636252,554,6751632,4281409,2128413,3337646,1570695,2619512,4593261,3580854,6462113,2603590,17729305,4751839,3198915,2663914,5803722,8941195,7463336,1991209,10479088,2626686,2070784,13657267,1818696,7185889,9303309,6414207,6421059,3780283,7242865,9380024,9387426,9057666,3101423,2246214,4257642,11321,1787230,0,10499,4182,7216,0,14170,1695,323,1256900,0,5883655,4626043,15666,0,4702481,5783889,11709,851207,0,2748894,9208703,3757633,5770,13517,7038896,9204709,2842159,705,4928283,6485173,3052796,934605,2476313,127303,4003936,9020991,7332437,7521685,685826,1615256,6552433,1633787,2208963,4314794,8160503,341588,10191,301813,5551492,2765,1450,0,1838234,6132130,2357854,6690417,13772748,11016514,4770415,3808499,3288015,0,7250,249215,1719010,9038316,4410434,489802,4441584,8837249,5689961,2005438,232266,1437506,2476709,353548,3370945,3919388,2122357,"Faecalibacterium prausnitzii"
"[Eubacterium] rectale",1359722,5903281,1502,2195313,2943435,2915,9678117,2598761,671835,1298647,40342,67983,6584682,170791,11780,62459,383997,30866,1553393,2289536,117584,828353,0,2013762,1616408,227688,1860163,3265589,4763370,1883489,1334792,5913527,0,810972,1202912,49469,3675109,13555943,17657,668654,111933,911171,14017374,1812826,13621,218999,2717301,1989173,3307938,0,802676,4060505,26019,9444,23594,1372984,2055344,1622937,1949365,5022673,861558,28178,201579,0,19699,5547753,32708,7279105,182096,0,0,0,7480088,0,11801,7427,445682,524,3109473,2612466,6089136,0,1764393,1513873,14756,298163,2055468,2572737,69514,136700,124112,3911969,337130,294581,1400888,24112,1602687,8962903,399328,0,0,182741,214062,104152,5030,4368959,769882,3131982,1251577,8284,5274893,1054449,105914,0,262499,234066,198115,272,1637,0,301182,3414194,1176,9555,3130809,258978,97025,4180676,815648,3298827,278505,3275705,2747355,1626951,236957,2317414,0,4506038,1750077,963246,2705510,172161,319074,0,560288,757069,887545,708070,2030,125246,1901823,9707120,380196,2458423,1092987,590011,2374749,2980387,214188,1513660,7223,338051,1359660,9919842,374460,1080225,1088982,9389018,1954690,2398924,0,2656649,3416925,1642454,4957331,4957173,8869120,550645,6039421,8057677,0,0,0,21540,0,0,5455253,542890,0,410030,0,4226593,1537783,29349,2904,514946,0,5503291,187077,0,251681,4369570,1069459,1143,8845,2753523,82487,85323,2888,760082,52194,766073,7314519,19165,379924,153504,632748,67960,3354258,2116,1446555,3077690,1651392,289623,1480695,2255381,55818,16446,2318174,5235963,6830,1965775,10165354,89076,213832,3482629,2295,50229,3511,10251,24194,3240740,0,11268,3773444,0,4828968,3059947,13839,16157,4175307,120357,2581702,167,841812,587410,123323,7133160,961604,12349383,"[Eubacterium] rectale"
"[Eubacterium] siraeum",993107,6005611,1911,0,0,0,21591,692377,1240941,564892,0,19544,654437,0,309,282342,839183,1680329,23603,4703306,492369,0,101070,3515609,9703,50204,88909,2205777,42651,206448,20573,25593,76831,618328,5099654,2439698,42202,2715735,603027,11537,4797,25896,1958676,0,6945604,290180,2011787,0,643194,0,7271,369916,114436,880791,8936175,0,22126,0,7357,0,24435,0,3230594,34227,0,169,1391459,4820797,167,0,2219844,3136464,1287773,1874467,183231,287783,1864,439572,163833,15716,558030,0,283641,0,2371964,3830955,77058,34691,85856,678199,5276122,164071,631178,736837,3302061,13459,1529509,0,31964,10769559,177464,75598,1934669,65394,2332740,0,315935,149637,73962,4616181,54426,57294,28240,0,25583,0,0,0,0,0,0,2254,0,0,4352762,1113231,3529,4396045,6154035,1017045,0,106291,17346,430125,0,428094,2540,0,11212,1007864,7939,146363,268323,0,23999,385219,3876869,520637,412027,1285293,761154,6654454,765089,11765,0,0,0,4115225,53637,5333957,140091,0,554466,0,0,1682179,11009,10147,359262,162656,32027,16992,13975,39972,331381,6386,1130520,6260,150263,3970,0,0,2796,0,0,0,0,0,0,0,0,193837,0,0,0,30564,0,2290,981164,0,113046,255369,16353,0,2366,1747106,0,11987886,0,1757331,734190,1773587,13624,1009592,0,75850,0,0,8300,0,16070,160095,0,197415,743206,318084,248241,4085,0,2317732,0,0,0,762918,151077,651310,0,663088,3966,3172,1623499,0,0,0,0,5747,4943,1875070,2571,63724,434630,11036,0,0,1367561,43864,0,524823,0,616931,"[Eubacterium] siraeum"
"Ruminococcus bicirculans",947306,0,0,0,210340,0,357745,1836545,0,59484,0,0,341551,45172,29833,67525,22198,0,273483,59019,2692923,711848,21694,0,82634,149141,69535,286922,2092981,171088,259627,0,1107644,0,0,338415,0,317791,644139,0,821571,1026790,16604,0,0,44028,34716,0,1704168,0,49028,0,346899,0,0,0,159531,335703,205643,0,1212009,0,198646,649163,0,0,0,607494,0,0,0,0,0,180429,438545,364498,344210,2745,2408019,1209404,50059,0,438691,28291,0,97505,0,515558,265949,156861,225446,2869651,1545419,0,47583,0,219271,149871,539746,0,30817,0,43194,0,23668,230268,1117747,144863,260675,5396,3738,33764,46919,50705,0,0,97940,104026,57882,0,0,3015583,0,0,0,0,0,0,83584,492914,0,0,0,2045190,0,30132,11721,793024,578370,2957519,4341987,129700,1016791,0,310340,151065,631592,172144,47877,107601,671180,64002,331618,678615,944535,92274,434673,0,0,32650,12115,2265,1083097,451,1278850,233738,0,0,0,0,0,0,540247,748268,1425356,513850,0,635388,0,0,0,0,0,0,0,0,0,0,0,48730,0,44108,0,0,0,318536,253706,370752,421825,0,576751,2407666,602070,0,0,0,1207265,0,0,68258,1082645,0,195400,181141,416745,703701,195994,0,21481,0,7460,106707,0,0,193666,187803,24275,5430,1933676,2066287,0,231,0,286821,74940,328318,0,147351,149516,572210,379,3895038,389,1494,0,5403015,882674,8381,0,0,229813,59068,0,0,240694,377212,0,0,952208,1207884,"Ruminococcus bicirculans"
"Coprococcus eutactus",870985,0,0,0,0,0,293,4285133,1045997,55820,0,493254,180661,171209,0,0,0,121620,0,254740,766,0,0,0,0,0,99380,0,0,270,0,0,624553,5623373,0,0,123422,0,1043649,0,0,0,1207552,0,0,0,0,0,3299582,0,97318,364924,0,4200,555247,0,0,0,504,0,0,0,181044,1447839,0,0,728459,0,0,0,0,162643,0,753121,4013211,809070,0,1562601,5618,4987545,195,0,111,105182,0,85895,0,0,705118,0,0,0,0,2623957,975101,10244,3088337,0,0,0,0,1636,698650,0,996969,0,2667845,0,1294812,252858,0,512643,89991,0,36907,0,3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828661,0,5345741,0,0,0,0,0,0,0,0,389070,0,0,2539589,0,0,0,0,0,0,2630,159360,385711,0,508808,0,200119,0,0,0,0,0,7734,0,0,0,0,0,0,0,0,0,0,0,0,0,8965,0,0,0,0,0,0,0,0,0,0,0,0,9715,0,0,630436,16001,6327295,1965,886,352993,2213,0,0,0,3538803,0,0,1835,2545,2647763,134858,0,1315782,0,0,0,0,0,0,0,0,0,0,0,0,133,0,1059428,3706,4585,5225410,9196263,11163,527648,3156751,2022,0,0,0,0,0,6336693,7985,0,0,363227,0,0,4237,0,0,0,0,0,"Coprococcus eutactus"
"Phocaeicola coprocola",835697,0,0,0,115039,0,0,0,21641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677814,0,43341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942659,0,68598,0,0,0,0,1677713,0,0,0,0,0,0,0,0,0,0,0,7128,0,0,0,0,0,0,0,0,0,0,443579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747558,0,0,0,0,4553708,556,1385973,120495,4663172,490293,1321664,0,222854,1909112,0,1218428,1576,0,0,1074702,234455,0,0,0,0,0,0,0,3341415,0,5576236,0,133,0,0,0,0,115301,0,0,1421776,1752838,559591,1571051,5197012,2560324,6413306,3923535,0,0,3394,6720,940089,1369397,134613,0,2661128,0,2769222,0,0,4227,0,0,0,0,556,0,0,41254,3368843,0,168034,0,0,0,0,0,0,0,0,0,0,621898,285066,8897,0,0,0,5583763,7756,1545708,4992,3835444,179,630277,0,0,0,0,131,579331,2804786,1392513,0,0,0,0,0,0,0,0,0,244100,0,1476622,1260,1438820,77525,0,0,0,0,0,0,0,0,934498,0,612,1400382,0,0,0,0,12746,3689316,1616480,"Phocaeicola coprocola"
"Bacteroides uniformis",783283,1127650,0,2307210,1372813,18766054,626858,3621337,2172522,1676918,9971355,5467324,0,519527,751739,2041944,202434,3601930,23086860,9753011,1376030,7050695,2586589,6212769,151646,351632,4541776,7364404,12021188,4787340,487286,2494788,697333,3091358,9506055,25195387,13172573,0,2299086,2609190,1097735,3370453,5746797,15106617,1233490,6191527,5948913,17863010,3871793,14242099,401705,2903,567764,898861,12989822,2059464,5937594,12092865,453792,11348803,4563797,2442752,445768,3520719,4879417,828821,1105243,2842635,649398,4685374,4736939,7096691,15492971,6436456,2606271,4339659,2403809,43418,7865636,4529305,5642593,17626024,6440044,4717639,4757133,180635,11312642,3133126,3491892,13364044,14266136,1222642,1092520,260355,1499255,972146,2277379,5317445,7206604,5436517,4300886,787745,744276,4933632,4654141,5300721,1406238,0,6926075,4445633,55413,509291,319679,529557,1932394,10400,53497,9036008,3359210,2018074,4359105,5380219,3951604,45406,5774293,571327,1861667,1633709,2529937,3148049,11473525,517009,256343,1421383,549519,2998492,0,756575,2177784,10608086,3008921,2558366,171835,2153123,5264146,3712066,5512294,956204,6343897,12566046,2579097,5096462,2481567,10565852,4040534,13225777,12279745,2458400,8915493,1966444,7290448,57420,1694161,2937753,4237250,4735199,2586133,538656,2288108,1854633,4077622,4694147,1966259,3195938,2889413,2627693,12670919,11222213,7781627,8100624,4615860,2889706,2013394,9990,11420,5886228,1558844,2175290,22665831,15117838,7008,211698,1342916,301879,186687,248582,5886,6079,3729107,0,3418602,2672271,11262427,6803395,618963,1564480,2254483,1696905,1632,2552895,4853643,5721994,4261535,12430409,12146561,5040586,1988617,2750711,675632,5234,6359003,3916555,7835148,1833040,3398466,2078862,1888736,6713987,16597639,1812228,8281289,5278474,11863174,27074184,15555509,2743933,1273940,7156597,6544,2225727,462829,1402335,645815,9784446,6181528,5605393,1915963,3526594,2659349,2529363,3552285,3615023,13349846,10132,6472015,13561436,122630,3366710,2223130,3990446,"Bacteroides uniformis"
"Phocaeicola vulgatus",733309,1680968,0,1698517,58376,0,4259782,9921702,1525126,712556,0,859671,6166501,1896158,726,1513941,82750,3396168,1981134,20406995,5884252,9276536,5030,0,383623,2419690,1602994,1382167,7830333,1139861,2363960,11180894,0,3367756,0,9732120,12402200,8374478,0,9189823,841487,2746474,0,4164,384691,1090245,2034258,0,4083561,13924259,1227148,11103729,1111648,69221,34481,46573725,18816275,230718,7371971,10326050,5357124,1067,1668469,6136191,4118194,2535337,1497920,728646,136245,0,6452101,4491044,959,3040284,6590209,2034405,259300,1607704,82301,5827904,0,1003423,5526270,8372190,8655302,2659698,0,11550218,514967,45599,8242254,7442046,9876,1343939,528707,569135,3811827,26473583,14290852,1126696,8866590,3683475,8065079,0,2792676,19771709,261,25025,4758359,7321376,4646,545486,422245,9734,2122865,321905,55419,1846,3986146,3082558,11978247,12855389,33068,38917,0,1371255,7091863,1143409,1099816,355209,15804392,1574460,3371890,1318860,6237841,1713860,2235,665310,4099813,2951588,2577611,1633990,278858,20384859,6284,949330,4217465,402563,6165615,12361464,8358722,4008913,2911877,545,7052893,10110726,6231498,3165565,2405,707984,11498221,294859,2570021,456882,1540372,6703500,11188588,1740687,534779,313527,0,0,1353975,363055,3267887,5746727,6487747,4895,10456322,25365,11850046,3048052,15486892,28048,6243,2350,4484957,3205903,12462834,969974,6402,679919,2000163,761609,4997451,2450,1697,24764114,7457557,0,6134593,6359695,4305065,34760561,15263,8134874,717201,1917817,370,1740216,6629257,10417890,16793,4843055,3133763,2913769,5169,5456313,148343,2587,11448172,2641378,10892656,1065195,3476292,4338163,3151207,5606991,2210,7187889,29167,24826,22429838,21024461,7254107,4422934,845598,2236544,5932,3781295,469333,1743,4317,238985,12134861,4908152,1735,3132271,23520207,37486,5118171,8732007,978765,738273,3509277,14195000,108242,9437253,1817893,3586230,"Phocaeicola vulgatus"
