"","CON-001","CON-002","CON-003","CON-004","CON-005","CON-006","CON-007","CON-008","CON-009","CON-010","CON-011","CON-012","CON-013","CON-014","CON-015","CON-016","CON-017","CON-018","CON-019","CON-020","CON-021","CON-022","CON-023","CON-024","CON-025","CON-026","CON-027","CON-028","CON-029","CON-030","CON-031","CON-032","CON-033","CON-034","CON-035","CON-036","CON-037","CON-038","CON-039","CON-040","CON-041","CON-042","CON-043","CON-044","CON-045","CON-046","CON-047","CON-048","CON-049","CON-050","CON-051","CON-052","CON-053","CON-054","CON-055","CON-056","CON-057","CON-058","CON-059","CON-060","CON-061","CON-062","CON-063","CON-064","CON-065","CON-066","CON-067","CON-068","CON-069","CON-070","CON-071","CON-072","CON-073","CON-074","CON-075","CON-076","CON-077","CON-078","CON-079","CON-080","CON-081","CON-082","CON-083","CON-084","CON-085","CON-086","CON-087","CON-088","CON-089","CON-090","CON-091","CON-092","CON-093","CON-094","CON-095","CON-096","CON-097","CON-098","CON-099","CON-100","CON-101","CON-102","CON-103","CON-104","CON-105","CON-106","CON-107","CON-108","CON-109","CON-110","CON-111","DLF001","DLF002","DLF003","DLF004","DLF005","DLF006","DLF007","DLF008","DLF009","DLF010","DLF012","DLF013","DLF014","DLM001","DLM002","DLM003","DLM004","DLM005","DLM006","DLM007","DLM008","DLM009","DLM010","DLM011","DLM012","DLM013","DLM014","DLM015","DLM016","DLM017","DLM018","DLM019","DLM020","DLM021","DLM022","DLM023","DLM024","DLM027","DLM028","DOF002","DOF003","DOF004","DOF006","DOF007","DOF008","DOF009","DOF010","DOF011","DOF012","DOF013","DOF014","DOM001","DOM003","DOM005","DOM008","DOM010","DOM012","DOM013","DOM014","DOM015","DOM016","DOM017","DOM018","DOM019","DOM020","DOM021","DOM022","DOM023","DOM024","DOM025","DOM026","NLF001","NLF002","NLF005","NLF006","NLF007","NLF008","NLF009","NLF010","NLF011","NLF012","NLF013","NLF014","NLF015","NLM001","NLM002","NLM003","NLM004","NLM005","NLM006","NLM007","NLM008","NLM009","NLM010","NLM015","NLM016","NLM017","NLM021","NLM022","NLM023","NLM024","NLM025","NLM026","NLM027","NLM028","NLM029","NLM031","NLM032","NOF001","NOF002","NOF004","NOF005","NOF006","NOF007","NOF008","NOF009","NOF010","NOF011","NOF012","NOF013","NOF014","NOM001","NOM002","NOM004","NOM005","NOM007","NOM008","NOM009","NOM010","NOM012","NOM013","NOM014","NOM015","NOM016","NOM017","NOM018","NOM019","NOM020","NOM022","NOM023","NOM025","NOM026","NOM027","NOM028","NOM029","T2D-001","T2D-002","T2D-003","T2D-004","T2D-005","T2D-006","T2D-007","T2D-008","T2D-009","T2D-010","T2D-011","T2D-012","T2D-013","T2D-014","T2D-015","T2D-016","T2D-017","T2D-018","T2D-019","T2D-020","T2D-021","T2D-022","T2D-023","T2D-024","T2D-025","T2D-026","T2D-027","T2D-028","T2D-029","T2D-030","T2D-031","T2D-032","T2D-033","T2D-034","T2D-035","T2D-036","T2D-037","T2D-038","T2D-039","T2D-040","T2D-041","T2D-042","T2D-043","T2D-044","T2D-045","T2D-046","T2D-047","T2D-048","T2D-049","T2D-050","T2D-051","T2D-052","T2D-053","T2D-054","T2D-055","T2D-056","T2D-057","T2D-058","T2D-059","T2D-060","T2D-061","T2D-062","T2D-063","T2D-064","T2D-065","T2D-066","T2D-067","T2D-068","T2D-069","T2D-070","T2D-071","T2D-072","T2D-073","T2D-074","T2D-075","T2D-076","T2D-077","T2D-078","T2D-079","T2D-080","T2D-081","T2D-082","T2D-083","T2D-084","T2D-085","T2D-086","T2D-087","T2D-088","T2D-089","T2D-090","T2D-091","T2D-092","T2D-093","T2D-094","T2D-095","T2D-096","T2D-097","T2D-098","T2D-099","T2D-100","T2D-101","T2D-102","T2D-103","T2D-104","T2D-105","T2D-106","T2D-107","FeatureID"
"Dialister sp. CAG:357",3896158,0,5667493,0,0,0,0,4281548,0,0,1211102,336796,0,2395379,0,0,626851,324694,0,15843,0,2967,538892,0,0,0,0,972130,0,5943,0,698798,1140307,1254623,0,0,2231836,9300342,86477,1152057,0,0,633134,0,0,0,0,0,0,0,31949,0,0,0,0,0,0,89493,0,0,0,1880330,0,0,0,0,0,0,3668510,808526,0,392761,0,0,1426344,1040378,0,0,2296689,0,0,675279,0,0,258730,0,196017,0,0,0,0,0,1968649,3099035,0,2102328,0,0,0,0,1021182,0,0,0,54549,0,3033325,0,0,0,0,0,0,0,0,91397,0,0,0,122,0,0,0,632113,17594,117430,0,0,0,0,0,0,0,0,1913,0,0,307,0,9941,0,426540,3348561,0,42626,70100,0,0,820889,0,0,0,0,0,0,0,528193,0,0,0,87162,626593,297254,0,0,0,0,0,425137,0,0,10587,0,0,0,0,0,0,447127,0,0,0,0,0,115387,0,0,72153,37032,12609,2221,0,0,0,0,0,0,8631,457487,0,0,900964,397993,464095,0,0,0,0,834866,145639,0,0,2133303,0,0,0,0,0,0,102642,0,0,906,0,0,0,0,0,0,1677193,0,0,879381,0,0,52041,193735,0,0,0,0,587599,0,137,0,796245,57689,2412704,0,0,0,0,0,0,0,152035,0,0,0,0,0,0,2190663,656438,0,0,0,0,0,1959101,90393,2207231,0,839643,2509456,106,4783077,0,0,0,0,0,0,3876436,0,0,0,0,8242892,0,0,305215,0,0,1061150,0,0,0,2812360,0,0,0,0,0,0,265,134,0,4835755,0,0,0,0,2068423,1933097,1299,0,1731981,0,0,0,671938,12801653,1254887,0,2276,2223452,525596,1382291,0,0,70351,248,0,976,25492,192354,0,0,0,0,0,0,0,0,0,1139670,0,239654,0,1912205,3024977,0,5080210,4392221,0,0,274080,2269935,8731,484337,0,0,"Dialister sp. CAG:357"
"Phocaeicola vulgatus",3441625,6820993,501089,8340830,651490,8638651,2418,27991003,2189916,3373745,499933,954290,664447,1368793,6664626,19419700,5963358,4881723,2972543,568837,9471,5209364,13749177,392818,465472,3602094,29086,128870,1391725,684719,381888,2879273,1830606,670089,235040,5887008,391227,3604842,13129865,6299540,4940,512,2728247,4835856,1336,637,4864968,2820920,8822881,4608,2271,2225696,679927,10088692,12000114,854299,5780610,7940279,534170,664,31299,568002,861544,3921830,1798048,645390,2282715,4000473,4011,1135535,205451,277388,350179,22872743,4545478,2133782,10019937,3786,1156051,7023175,4418664,739859,1477021,909660,2372255,8245184,92505,6689576,6989327,69698,2687432,9857580,487564,1330586,2791844,136082,9892785,4615645,3223152,2066709,2266902,11996035,4221225,2172025,187909,6385323,59806,44294,10920,1750308,40475,17137940,2961,876740,1905880,588112,3573532,13091785,6321948,107447,28537,2370230,1652212,3625865,230588,1663109,574865,12098087,3882421,1346376,1869361,9083,1468509,4967376,8641698,694969,1872,4555950,757384,2054603,2202788,16898,1319658,0,0,2167404,5057928,93975,0,4315,2120594,2958937,2716771,22377991,4577661,744538,2378917,2966045,8914862,8434,4031736,3625163,3790814,285340,21655,1439,4689801,2295827,4014956,2418959,2062,6747687,3219955,83696,3395285,2245426,3267644,3856129,2895400,3447069,270242,11193478,2628995,4477894,2189701,383455,3120971,19911,4206017,12674010,7064491,4178961,4483306,6016943,3635,3332026,1256898,13160182,144795,11249524,4914744,10283380,2878800,548877,3956293,5071038,18227,11503157,9761200,947864,0,5482074,182893,2190380,37440,9121505,635580,2262866,2741404,2245362,550,2828431,11104925,3069,7545887,6998102,9609669,3575054,3011969,6646778,2651,2643190,446554,7052796,16386998,34879,657084,8909333,885075,6571128,156072,5955188,6551093,8096450,2053850,0,5433096,1703260,2775970,7719097,10466150,10012577,6744444,2860,1466930,75803,5379198,18218522,7181,2049,5381755,374783,7879978,1731,0,147588,5577061,5562140,4320,3139,1266756,2182,5114789,1293585,0,332200,2038083,6657743,4906052,1102276,661668,3929773,3790092,3931824,1944,3428209,7477082,8429946,1286929,259591,5928901,1412401,60475,18741663,3468452,1764775,983673,16219,2197282,5338574,3521405,10246508,15462978,0,2391962,4260444,6536610,195543,7684918,4682726,5339966,1091175,4340395,13016126,3322157,3438007,1287063,2592518,3934,5039121,8222344,3625173,3289,818,711849,4751503,1927,603,2630799,394,968775,2066231,2597563,2004,7083260,14449664,9322713,6122972,7583,3827639,2742186,96605,3018913,3925,5217118,18877226,3838576,1633178,6877721,6614730,586865,126334,122247,924175,16195838,9359,19756,5256646,1758012,2442501,840932,10608816,3306756,"Phocaeicola vulgatus"
"[Eubacterium] rectale",2876945,0,4359,0,1451064,0,0,3098,0,9213302,761406,0,313,161397,0,344,0,0,0,0,981440,10557,0,7554,647218,4629628,480438,26136,1688946,672284,2771926,158226,766549,1391777,446,0,10244,1139531,7191,0,0,0,613120,1148381,0,0,1999563,0,387079,251,0,0,249090,0,0,0,0,0,2634664,211,1345307,227934,1257885,975121,0,2631681,0,807269,4515493,44905,259412,1502146,57307,0,69263,5091221,109444,2779481,0,1926230,1668632,1273561,1890903,132136,1845505,7530,994420,0,1104856,8893829,739432,544410,349815,156545,3431357,0,1021005,401776,0,1227860,308362,0,23085,1469802,77541,643876,16111,51017,0,1178639,914560,0,2717782,999532,255072,2561445,443897,0,0,2177,0,0,0,0,0,1313551,229139,0,87722,981978,2239,2416120,0,14819,6459,0,208350,172022,0,51793,546742,734201,105532,0,0,23551,934044,0,891783,460004,1171897,495646,17573,0,0,0,378563,0,314524,0,2265,0,74171,1059,0,0,0,28211,2051223,144195,0,473383,641631,0,253170,467782,589442,0,166376,0,4908,2594214,3405543,0,760045,1491741,1639615,0,282868,831,539018,302162,75302,0,0,6414,0,0,2398036,0,734510,0,10357406,183036,1332944,3179,6764,0,1389617,3399654,0,0,161878,93377,0,1312600,643087,0,750968,320403,2343,323361,3040648,0,0,0,347788,679703,0,0,823,42062,2723015,3601,0,1238048,92438,0,2310296,119961,0,0,0,757728,60189,262767,2213294,10980,0,0,1089902,0,0,0,0,5196,0,0,3984,0,226030,17546,0,0,744878,0,7786444,0,4274934,0,641683,0,0,52133,0,0,0,0,2473930,262102,2480155,0,5358825,4556325,0,0,0,45096,0,0,0,1041399,0,0,1047799,248484,2129383,2225,516817,5072,0,0,0,884,263951,5735117,7505,10406,0,21243,0,485530,0,6740955,306523,0,0,3782819,5285654,0,0,1378032,0,334,0,341,0,153513,717842,0,2737,0,39443,0,0,0,734,39108,0,831782,362735,1023535,0,464,1348,806,7790,793,920723,1624450,15031,359080,0,24875,829,0,0,0,4626,421351,3138808,109764,574,"[Eubacterium] rectale"
"Akkermansia muciniphila",2278508,0,35187,0,953232,229782,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0,0,0,351241,0,112914,0,0,0,0,0,150174,545,1038,0,583330,0,0,0,6287,592664,0,449718,0,0,0,174489,0,0,0,0,9575,47709,67958,0,59628,0,1100218,0,0,0,0,0,0,0,0,0,0,0,5239,102792,0,3955311,0,693,11307,0,12700,0,5568238,0,0,0,0,7977,0,0,0,0,0,0,0,0,92832,0,0,0,863306,0,0,4678,0,24504,0,0,0,0,56101,0,0,0,0,0,363460,324833,0,0,0,0,2814467,102020,0,0,0,0,5367,0,0,0,0,4643,0,27198,0,0,0,214,50369,0,0,1978364,72214,967772,0,184289,767508,1440,0,0,3146545,414693,0,8846,0,0,0,0,0,0,0,0,11863,55777,0,0,131,0,0,0,23905,45659,0,0,493,929283,0,0,0,0,0,0,0,0,0,0,53312,0,0,0,0,0,0,78149,0,0,0,0,0,53714,0,0,0,7359,0,0,0,0,0,276580,0,0,0,316712,1253,0,0,0,23743,321,0,3193,15348,0,3362,0,155846,0,0,7749,721,0,0,0,0,0,0,0,0,15903,0,0,805,0,0,0,0,0,678369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54872,4073,0,0,3768524,0,0,0,0,0,0,2343778,0,0,0,0,0,0,0,0,0,0,24951,0,0,0,0,0,4288872,0,0,0,0,0,332433,4043018,0,180586,0,855622,0,7220759,6238476,1445891,0,0,35272,0,0,0,106756,0,462,0,317360,0,1557852,0,0,0,0,0,166399,0,1738224,0,0,5679530,0,0,0,10514,15931,0,0,0,0,75866,0,0,0,0,0,0,0,0,0,1790303,0,0,0,538291,0,0,0,0,0,0,0,0,"Akkermansia muciniphila"
"Alistipes indistinctus",2209686,7241,231579,34601,100109,76331,6124,0,0,0,72398,0,0,85,0,0,0,0,75933,0,0,56343,62795,0,66234,1619,0,0,0,0,0,14252,1763,4316,316249,3370,5879,0,0,266,132461,0,595489,0,0,0,5551,4208,11749,0,0,69636,60183,0,0,2297,0,8859,0,0,0,0,0,0,0,0,73794,237036,1574,57929,50346,0,0,0,0,14983,0,0,0,35616,0,57335,155361,0,10649,15688,0,0,36874,0,0,0,2219,59044,0,0,12787,19982,16880,0,2996,0,0,0,0,0,0,1488,0,0,19674,0,317,18727,11611,7801,117590,0,0,35924,0,0,8931,0,491246,141061,0,15060,172070,0,10109,10457,0,29459,0,0,150709,5280,0,22533,26344,2350,4708,0,0,22531,948,0,0,0,293502,0,0,0,0,0,16110,0,197,0,12340,0,430353,0,126725,0,8611,0,20078,38174,3431,67987,19101,0,16349,0,0,4475,44649,2050,41027,0,1156,0,2539,0,10190,0,0,0,0,542,360,0,32284,6529,0,38455,0,0,42105,0,4450,0,7811,30121,0,31766,2910,0,2508,0,0,0,0,0,8071,48693,0,98347,0,0,0,5014,0,14181,8141,88625,13629,96088,0,14098,3468,0,0,0,2085,16277,0,6975,111121,395454,0,0,19095,0,0,365995,10223,0,0,0,0,0,0,0,0,0,0,4796,0,0,18586,9276,0,0,15430,32670,2073,0,473417,0,0,885,329765,0,235519,5450,26668,0,3119,0,0,0,0,23424,0,5341,0,1248,2880,369945,1150,0,3393,88672,4294,2492,84126,0,26975,6791,27632,55455,31972,870257,89359,0,15470,32370,24399,24828,0,0,769120,348588,0,0,0,28762,0,1510018,109940,0,0,4220,0,52801,0,30380,0,0,578182,1366,304,780,10092,260396,0,662810,25748,0,0,2823,125140,66442,81904,339206,2585,0,1707773,10152,254655,1915689,146753,0,0,0,0,1930885,0,17331,1711,"Alistipes indistinctus"
"Faecalibacterium prausnitzii",2130384,838877,281737,5913569,1684133,288623,23377,4875,508792,505656,36186,0,1354884,1578764,8119669,1345941,2783405,288384,0,458952,794243,1138791,1745503,2028064,695209,4782886,745241,4662598,4258751,456453,3506913,556764,434402,1031342,3984983,2438776,626870,2586215,131689,2129540,1154659,502073,1346262,1340875,0,780791,1100523,1807273,3371144,1085941,0,869715,669926,4322720,298396,3563510,2863105,3992582,3359587,865,1610346,996079,3579092,1670684,3153,5253294,0,872171,5784923,2074767,1314263,1397638,1620211,422757,764775,5863992,2715941,7572736,109652,583642,3911139,538804,622817,1447513,1539786,1791270,437294,1298449,282260,691451,589512,966539,1358124,1041766,846438,3871774,1130575,2287835,2350203,1318330,2896842,7371756,2624204,1291109,1513920,456860,2967325,80794,784,948831,1148360,0,1410563,2043417,738903,2509283,433727,32193,1691,50289,1824660,0,1146702,0,1102803,2177793,7654,3864,1285749,1256977,660297,2183138,1960,1260870,3965601,0,3068,1450853,4044,1289821,1977056,1675700,2419064,332936,1883373,765933,9573235,0,1727532,2068332,1094236,1077230,1076842,3366,0,3268862,1509064,18943,2101943,513,412459,630311,880997,483893,107283,259,581356,977367,2126938,600076,1272671,387642,545463,2946972,1059414,2103861,379673,422633,131816,1514977,713768,1026064,476490,1447396,2680962,2045306,4906690,1642427,2928003,248709,1616199,3259039,2272278,165924,512604,1102618,4053,5839,4150870,794211,1270963,3497463,1154772,1065080,2942343,1363770,993296,0,2874794,3603458,669447,146370,2094809,1936752,49775,6737109,3555847,1758752,4528199,881553,590386,1058107,1512878,254707,1758475,1031395,273361,1096457,1536855,945782,2470202,1494948,990473,830145,8408,3045832,1772846,3629673,3363524,2305621,2809496,255668,0,1413275,1265633,3221588,2263970,2461909,1344437,1192893,376162,2298672,2728403,2487570,0,251258,3269206,159165,2079993,4442181,1694763,930194,59830,908662,0,1331904,1900437,1548141,2560890,4229898,419741,1807,945131,1385698,0,425,866793,2551639,1288926,5807791,2349929,104437,4005719,3949488,2969714,614509,483547,5581011,1835031,481608,1966122,1025247,237511,110882,1717179,5000875,2653900,3892186,3685536,0,1533,438584,61327,4260385,3252359,2253679,224670,6042275,1294614,12801,515015,1275159,987319,2587175,279827,1033027,1374727,2698476,1593747,5333769,62376,4384119,461870,123623,1141652,643533,8076441,237681,5957381,1706,5136926,0,854469,2167971,2061562,417384,1408892,703121,0,1122857,5551937,2919648,358078,707147,1139,549182,0,22673,3104787,4345182,1142325,1357447,1140133,2645355,1334485,8001535,0,641040,494233,2812741,1510777,1664112,3852287,"Faecalibacterium prausnitzii"
"Alistipes putredinis",1872788,4187994,3745379,920868,2890076,0,2443408,0,0,0,0,4807,0,287702,48345,0,641349,948855,0,518216,28536,715938,0,574870,29735,1838931,18693,5657,0,0,6777,2710150,3189748,3565786,475394,1523959,655091,236717,0,644719,6200747,3850644,5235121,2294770,14611,0,1433882,0,0,0,0,873975,6686426,2099234,0,1540722,0,2048714,193335,0,2774,94950,589423,0,0,591755,484487,2667825,0,2876410,1345236,277496,1028894,0,0,495441,0,1438277,0,1687739,2009599,2399701,2021520,5057,763821,0,0,0,0,1137688,228194,0,0,0,773796,14281,4737456,3418000,4431670,2527924,471710,55490,988761,10389,4995,0,381810,514483,0,0,1079307,0,22424,673595,394561,0,3220938,4409,4507,1365847,335112,0,1659387,0,2150213,657408,3490504,11648,4025488,0,1355332,869792,2453,265454,88393,0,204615,1557996,1254,1853322,1097934,606866,1308901,0,1357251,530926,2547,0,0,3039847,6089536,3619567,521203,2068,0,18793,2946303,504289,192877,1757,1392260,0,2402662,299,0,106101,2649734,66508,3744273,2680630,0,0,0,411740,450375,504430,1704179,0,1439609,0,2224104,0,1164422,2762,570984,90229,513151,1232385,1696817,182495,588590,1604807,605577,0,0,225297,868,0,3924,0,955550,0,0,19484,0,1505321,0,0,0,671790,3167188,177463,401968,1208689,0,0,1330692,304276,887907,3815016,0,1610092,877594,0,0,4571108,0,0,0,2174035,6179,5020067,0,0,0,439406,535373,0,32135,1946382,1310156,3238621,0,1339984,3629,373710,52655,2419969,1416764,1234685,0,512,0,0,33156,8865,3264005,0,0,0,993464,2113373,177732,1542557,0,0,1940842,1844739,194,0,2384828,0,23338,2723912,0,0,34994,300572,4581200,154198,2185362,0,4273568,6628,0,3249128,0,0,3799614,40580,5318291,1506388,2276141,0,11603,760,1276294,1166905,7472194,0,2114271,4137812,1812705,0,2007266,4096239,0,51644,220127,2541277,108180,6371682,0,914,8989104,0,51554,14148,2515068,3945534,7711930,13587698,646098,0,762079,1629733,0,1971338,73704,0,687927,818380,2572111,550096,0,1744521,1706,2934374,0,1232777,246212,5152,0,1113,990,158,10917319,1052107,3859357,361895,107496,682,1568182,129,5341204,44920,0,205700,0,5829,390941,4176518,2621346,"Alistipes putredinis"
"Bacteroides thetaiotaomicron",1742215,782351,611526,2525278,268541,1094465,3025909,7539553,37566,299116,171985,218177,20600,183124,86683,52325,342657,231080,2165509,190871,335045,72187,982402,35033,152257,418164,2438,42730,51320,36687,1474,369260,14390,526768,527051,528572,59751,83413,455426,40811,1916606,483625,530796,87875,3652215,7705,218623,832422,1043402,22710530,0,424366,226104,277587,811528,2206790,312049,791222,36558,1564,7474,17169,23554,186159,736144,128092,102650,149753,590530,658535,79346,38979,295340,222258,311462,262337,474027,139566,106309,2593816,429068,4456,62572,263096,156526,107350,1790,1129410,366212,760605,51656,2577957,57547,61019,615655,17193278,681578,1629904,43156,311981,107202,160578,368974,8278,10819,0,13435,6380,7957843,109859,10522,3258971,362447,27129,371194,52723,72290,3647875,2295515,39190,359894,0,290094,0,115104,534524,173669,428770,188076,544116,1001932,130778,82231,175559,649261,172894,410953,359109,2077621,362248,160158,140720,242607,1804651,421499,510866,545098,20546,22043,317715,693876,942488,69276,25548,6616121,60606,168005,361784,141715,2763,2315589,239121,462353,1714,17346273,772324,967393,62797,224205,505351,220957,292016,5639312,82031,978757,34712,1298479,243002,25817,136582,1540956,347824,656536,548857,288207,104099,563429,173414,1247980,6628,509019,113108,639922,4590494,1572656,453967,26280,373740,136707,1034907,1032977,76020,314747,60879,392009,591295,88494,6685307,646195,10421,5229561,511,40924,490851,9552,113492,215703,524197,67942,783896,5728238,351609,827750,3064119,123173,654578,997345,439463,4865063,687954,4921922,375809,81915,240304,2660134,6899,196753,1588998,0,502601,701152,290576,178977,635582,545152,43973,340226,76302,47541,124541,1893979,1582045,66079,6316,470808,510919,150273,78141,12467832,118177,230911,46714,65526,73525,825570,789789,136890,3345142,912786,960504,930842,1888212,253002,330133,1129057,0,648295,958235,389277,7094,466162,195906,378582,28296,111922,353214,19146,1347120,56465,142573,399423,157584,406946,1157950,181164,330390,165604,211967,1744213,276179,1514138,1014604,4175261,5083789,56293,55271,701358,2771,63409,278308,2251391,261175,0,544965,384432,270346,52464,936562,4802422,547645,1277927,229480,1533116,841140,132360,701538,3730,813143,93243,8684003,1359527,1767002,618964,600184,422138,235145,546053,881534,1279420,801111,133687,77009,94747,70904,3755055,2991354,687720,162299,862119,552044,197115,27107,209346,1152743,1821775,0,354,466833,634396,1163077,42101,1316748,1242054,"Bacteroides thetaiotaomicron"
"Bacteroides uniformis",1682327,6791342,646007,4869964,1566959,1725138,2050556,14454490,221919,369602,113346,868344,28515,156961,472635,610992,2039006,3873777,12929937,214075,5621443,5330781,2849827,123188,167971,2092823,9862,48165,493211,195356,93065,4390224,1186883,7724533,267171,7117980,129819,312288,4536372,1195921,6981533,6887314,2133964,373446,5251778,10661,17658067,7484328,5777840,2868246,2291,3331260,2769657,1630224,5380533,3985787,3671598,1406361,232689,0,9817,39918,216608,151732,519771,111174,2123993,621590,170328,2696776,66909,170870,2866214,1498455,5336070,2462315,2838552,1190980,38887,1500005,3877035,266220,760323,2568376,2221196,7104539,13915,11249714,5130219,5422491,1493807,5981849,70684,1690743,2208285,20665,2020967,6635701,1919685,4837611,1019140,360917,2566553,87515,84276,1143346,101911,376425,7800,146571,478777,2310655,2542925,680166,824078,701767,4343734,1753,1576,67154,2337891,0,1398251,3168,225108,1016236,899439,1944545,804394,739858,921056,4634343,596586,1523646,1840203,203494,1057725,2033983,7717889,9900124,5537403,414056,1667289,1509798,3774357,1614100,2187656,6643,82096,2417285,2434745,7092748,3858151,4603825,16581,64083,1737165,4907451,711348,610592,2481356,4855696,2795877,7338,3317,2622992,8278181,866707,316874,473706,4657964,964035,3055513,1657165,8649693,4929148,4817465,1814269,337771,3693890,2486099,3014735,4323117,2324087,1270410,1431313,535845,2463669,3511900,1916373,3096075,3256060,1401245,5809191,8380425,3445828,854248,2633628,201555,4514592,1051124,637534,282270,23248,688246,1079741,165823,16680551,5708689,664211,11288488,39285,123642,3285680,19324,404990,8124230,8479137,2403471,606447,6045993,3801906,3504460,3249163,4775712,7201849,2029633,3761239,4820493,6190683,1208747,2265334,163502,1650449,2419,171300,950727,11205779,36096,7191827,841327,271458,4829854,4309817,4310232,76863,2659731,1035265,316703,1138079,1363801,1590321,280340,25737,1699369,833590,1875149,4555827,1155,5858088,4068494,103991,145349,6176745,5075284,7216840,4605665,7969798,7137576,24656,8601982,315676,211014,2853222,1867766,0,3218988,1916664,1665685,862653,4086030,3178678,4226198,708293,78697,2137706,2382897,639642,623075,344849,9287168,233874,4261960,2191691,2548497,364697,2008193,2215409,7954324,1125147,27149,4803293,3790399,3363927,3117840,386504,9066134,320853,209957,156819,6485376,7714658,0,1818896,10379254,7400403,885744,7270597,15470000,14538396,2207368,2979705,644709,10886444,277184,6410805,518061,5360243,941554,546575,2007267,1648028,4677129,5352198,589301,5329144,1763042,2437556,1590752,670732,5210707,190209,1378152,997141,9479599,4402149,1355391,2902311,5457213,1479916,2758272,460312,436457,4031846,2298029,2695618,3627,1338878,2435106,7524412,153891,2900525,3283825,"Bacteroides uniformis"
"Bacteroides ovatus",1519751,406482,220991,2883663,138528,40906,0,0,4470,30209,126549,346430,5313,199193,57123,158576,9255,628542,1931716,2580,785081,139924,0,5703,118148,154196,2907,4204,84069,0,2970,9256,157442,764790,274214,878628,29497,45898,1442474,138608,25039,1091468,174550,42867,891881,334195,273588,467463,56542,1769814,1560,350308,160066,209008,46551,307521,689048,12894567,87270,0,2811,22258,49166,1334445,693340,134590,278301,7375,472421,94638,53942,269734,38461,0,293736,138367,25079,444459,22948,4207529,101101,68210,28486,148562,178799,30511,496,0,22380,6224882,0,476563,47835,542306,326110,333740,415432,24559,161208,90427,38870,195692,67462,6684,614,9955,11378,18570,1275,83032,22974,1264497,1987912,15766,55427,321817,53081,9812,1687802,79194,162361,0,852458,15016,1433871,1069112,1835861,2167830,751,889802,59217,215105,493,435005,217262,111,0,0,221986,135800,6867,67425,502733,188144,185917,23453,614342,1783,0,41165,11768,202039,21334,575104,13704663,36517,160703,37780,26857,1292,119201,201666,438789,0,210126,155119,39060,5035,371884,53348,193563,0,2193660,101439,410349,119908,399340,75744,88710,16525,3435,259233,996343,1296045,11135,187107,2180,2331876,125931,160758,390568,585511,14014,1065581,1187952,90421,8519,232698,49113,687461,108623,74249,3727,57772,15532,1492,42023,96719,408039,164828,3504407,16766,79021,13595,1087,235211,580040,303637,68865,42411,61305,1772512,183518,13779,84670,4217,1519487,269609,795084,879,5441,18632,5811,199557,144466,72303,15253,3648,13680,82393,440445,10583,983892,152454,146643,43895,56728,23159,232338,630050,3316792,400480,90474,1477,185083,1011216,485889,464295,0,688045,750364,35556,30758,11077,138546,288746,176490,1833863,616792,3605834,120582,293339,293751,140146,733,0,832416,2138359,119515,38490,176126,9101,498865,114079,0,13535,419648,912816,46378,11110,182171,240335,912563,679919,1529207,111452,394183,28560,70558,4973,1146,0,783,878,50464,1153511,1901980,1567,23789,0,397010,1476230,3257489,245619,1888,1369189,352017,821124,0,0,133193,114220,47419,4781597,597147,98954,1419954,27793,43319,1445874,268143,29059,562006,1983984,346371,22938,1709918,424358,50276,345193,147838,253291,0,115525,1689191,2642186,947391,0,1048755,71723,16825,113487,47892,1695429,82535,0,84,33373,1564644,109341,76272,20768,30074,"Bacteroides ovatus"
