"","CA01","CA02","CA03","CA04","CA05","CA06","CA08","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25","CA26","CA27","CA28","CA29","CA30","CA31","CA32","CA33","CA34","CA35","CA36","CA37","CA38","CA39","CA40","CA41","FeatureID"
"[Ruminococcus] torques",12310091,3231,1276794,626444,527862,707586,342055,7568190,673754,658216,2255299,345734,695553,243687,2637691,257114,0,1553617,2811,1559372,1343422,0,61447,440720,0,311072,0,1215383,56955,0,353491,1595,7205762,2009738,482130,6287987,765969,"[Ruminococcus] torques"
"[Ruminococcus] gnavus",9008832,86217,5224,1072,3964,499838,634487,606872,0,0,90644,34884,0,0,242081,93394,6536303,4420453,230283,259834,0,786097,81903,35247,114041,49108,12825455,58785,9614,276191,0,417015,797088,95492,0,43327,0,"[Ruminococcus] gnavus"
"Blautia sp. CAG:257",5411129,229515,0,0,17864,895905,10378,67505,0,0,137608,0,0,0,1822272,205,2111905,1458190,44220,1544156,0,4309377,0,9749,1492,0,1527093,37485,0,46652,0,168240,4600156,218777,0,36868,0,"Blautia sp. CAG:257"
"Anaerostipes hadrus",3503867,3594526,135537,762808,149190,254987,385013,3488435,323225,275863,1711638,19016,24123,38734,2761497,254691,2923435,2967528,1089807,1233,234667,0,541681,422770,0,88156,0,72454,96983,2315688,355246,0,0,0,84967,268416,9878,"Anaerostipes hadrus"
"Blautia hansenii",2743724,29733,0,0,0,0,5262,0,0,0,0,0,0,0,1102,141,528206,1954333,0,0,0,0,0,0,0,0,2630162,0,0,0,0,0,46522,0,0,0,0,"Blautia hansenii"
"Bifidobacterium longum",1310240,593086,140289,248821,267729,751228,120554,468975,655491,490294,60074,343792,208924,0,2803039,107201,1298565,1078352,3695,15012,178375,208607,276030,391989,2068970,179984,0,263959,153855,293733,908563,0,0,0,1321172,205735,393735,"Bifidobacterium longum"
"Collinsella aerofaciens",965474,0,1373468,278399,818274,1050927,0,1881332,0,0,401107,3380007,611144,2116623,1219947,289690,32811,2525591,1447000,1063,634523,821485,860383,5773977,563,1491033,0,1681272,1077884,2046147,2991658,1263052,1239,492658,1016860,2068470,3573393,"Collinsella aerofaciens"
"Catenibacterium mitsuokai",892402,358778,0,0,0,0,0,499337,0,0,0,0,796005,2011616,0,0,0,0,0,0,122313,186812,76555,0,0,0,0,0,141685,0,0,0,0,0,76826,0,0,"Catenibacterium mitsuokai"
"Coprococcus comes",811995,859636,410557,178789,0,0,0,394024,564827,473044,342957,217346,336054,810754,0,589216,0,0,579002,423006,1098333,87245,203138,1290878,3303042,726956,0,716009,50638,705731,0,0,0,0,302200,1480513,703043,"Coprococcus comes"
"Erysipelatoclostridium ramosum",616376,27647,0,0,48511,105425,27129,5229,706,1544,0,0,0,0,394586,0,557234,332171,529710,164302,0,0,0,5334,21713,0,205614,0,0,7233,0,47922,166907,28592,0,14780,0,"Erysipelatoclostridium ramosum"
"Lactococcus lactis",610784,38308,0,0,9796,7745,3353,2041,0,0,17010,0,5815,0,1622,2525,52592,25845,0,0,0,0,0,0,0,0,0,0,0,43210,0,8880,14453,57947,0,0,0,"Lactococcus lactis"
"Tyzzerella nexilis",447242,0,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,179879,7924,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,"Tyzzerella nexilis"
"Lachnospiraceae bacterium 2_1_46FAA",424760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lachnospiraceae bacterium 2_1_46FAA"
"Holdemanella biformis",386859,0,675435,0,0,0,0,191705,85180,82911,0,0,204954,0,0,1132828,0,0,0,836706,0,130689,2219,0,0,10775,0,0,0,0,0,542818,0,0,74236,272858,21806,"Holdemanella biformis"
"Bifidobacterium pseudocatenulatum",262264,69563,8248,87994,1442779,2487803,10694,23731,0,0,0,3085,7781,0,0,0,0,49086,0,891698,0,137675,244376,693713,0,114631,0,179671,0,67821,0,15675,0,259284,0,20892,0,"Bifidobacterium pseudocatenulatum"
"Streptococcus thermophilus",253962,26093,0,0,14646,0,1981,0,0,0,2679,0,55017,0,54510,2615,15838,56917,0,0,2669,4980,0,3250,0,0,17860,17369,0,3740,0,0,221796,2518,0,6676,0,"Streptococcus thermophilus"
"Anaerobutyricum hallii",236978,2077356,17955,257530,217369,1983199,90861,372335,46235,31632,93923,42867,821859,458245,181413,94213,0,683833,181072,18767,520336,0,95113,1177875,23177,142875,0,381153,529507,1635896,93278,45258,0,0,442471,1173096,68274,"Anaerobutyricum hallii"
"Fusicatenibacter saccharivorans",159366,1177293,144888,485159,855243,53850,78009,657202,218239,307913,135304,641898,1074530,153413,0,396520,0,182282,794015,1577478,524566,0,143083,516474,96100,273557,0,588672,47917,1648372,996186,606286,6966300,970928,568828,669216,352829,"Fusicatenibacter saccharivorans"
"Amedibacillus dolichus",154624,25905,0,0,0,99193,0,0,0,0,123732,0,0,0,49473,2184,514372,172536,0,0,0,0,0,8982,0,9557,0,43442,0,105772,0,63098,485120,1119,0,13278,0,"Amedibacillus dolichus"
"Dorea formicigenerans",152842,475100,522097,54945,0,0,0,463370,42371,37721,0,60833,239626,101883,0,74621,0,0,287128,43958,469066,0,53144,364276,14426,179984,0,281676,30022,391604,143990,1178424,0,0,235626,1094170,190268,"Dorea formicigenerans"
"Eubacterium dolichum CAG:375",152170,25790,0,0,0,96981,0,0,0,0,125886,0,0,0,51667,6471,513493,180873,0,0,0,0,0,9546,0,11702,0,52100,0,99231,0,71854,484559,2020,0,15412,0,"Eubacterium dolichum CAG:375"
"Agathobaculum butyriciproducens",150452,154819,9757,93241,33756,0,114208,160933,132076,122406,68035,329041,105453,13056,344003,30081,0,201393,449569,2072,334040,59227,243853,350469,3716,154605,236194,11226,30344,369346,151737,137143,0,75285,113781,437094,673369,"Agathobaculum butyriciproducens"
"[Eubacterium] rectale",138552,4932576,1244423,11476,112509,614457,31567,3108393,118840,134291,2684479,33596,1070211,539495,1506,114764,2515,9256567,2989,245751,6797439,1806,4823344,4800785,1347102,392622,746,5679807,19283,3592803,4931938,1661088,5334,165684,8881290,14822337,1447765,"[Eubacterium] rectale"
"Dorea sp. CAG:317",113029,3998,0,0,17342,115688,0,3787,0,0,0,1035,0,0,314402,0,0,67581,0,1030,0,14728,0,2108,0,0,0,17394,4709,0,0,0,671721,113904,0,10259,0,"Dorea sp. CAG:317"
"Escherichia coli",96082,23846,41782,0,0,102857,4452,712818,0,0,4318,145921,16670,0,833322,2177701,345060,341226,0,341424,8541,8132,186909,0,0,10795,991686,11202,980,2741,31294,6033,275163,5881,0,0,0,"Escherichia coli"
"Collinsella intestinalis",92624,0,2146,853,1548,2815,0,6680,49247,32169,10474,709986,4319,5550,6828,82082,49883,6914,2460,0,25690,316187,25552,8173,0,19256,0,344,1906,1266,3967,1998,0,0,1654,21319,18647,"Collinsella intestinalis"
"Eggerthella lenta",88477,231312,0,0,137784,60275,16908,3573,1090,983,6708,243,0,0,59388,0,342937,50902,121394,199925,0,103244,1553,15185,216498,1177,0,26950,0,46554,35622,14665,984940,29513,8037,0,0,"Eggerthella lenta"
"Streptococcus salivarius",55514,97412,40092,16420,900158,32849,18262,56738,0,0,2491,694,12296,16549,30534,1469311,282473,123798,9212249,38958,6036621,2828126,375348,13031,83976,20928,95758,14231,20616,91487,73553,3843791,4760,42313,118657,52548,6899,"Streptococcus salivarius"
"Dorea longicatena",49918,2233931,1250525,225020,40735,0,152168,1767389,1673273,1376786,322995,246288,1634364,368024,0,713040,0,1650718,1015324,2292556,885713,553370,508653,1896633,846555,904888,0,1418409,32010,1000409,563119,521218,0,0,720004,546189,874818,"Dorea longicatena"
"Streptococcus mitis",40780,14288,5186,0,0,3985,0,12160,0,0,0,0,0,0,0,7000,4312,3731,50865,0,29361,0,1971,0,0,0,12585,35026,0,1003,1031,2245,0,4696,0,0,0,"Streptococcus mitis"
"Gordonibacter pamelaeae",30624,136111,0,2171,55589,24346,2059,181,560,0,1055,11296,0,303,50912,12498,47723,20933,24222,27234,0,20551,1153,16928,85482,266,0,10883,8344,9573,9441,1150,185873,3017,18616,1575,2684,"Gordonibacter pamelaeae"
"Blautia wexlerae",27554,55679,25649,95035,78726,759,23332,140671,45568,33641,362694,89966,65430,61337,3234,89832,7979671,3638570,1137882,39913,343082,3817,138553,136403,19095,172950,0,312197,11880,1507016,182819,1956168,6603327,2713186,401098,117795,4889,"Blautia wexlerae"
"Lacrimispora saccharolytica",25502,86612,351,0,0,659667,0,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604352,0,0,0,0,"Lacrimispora saccharolytica"
"Streptococcus oralis",21009,2509,1943,0,0,2394,0,9239,0,0,0,0,0,0,0,8395,29454,24070,6833,4813,5691,0,4434,0,0,0,7939,2030,0,0,3557,0,0,2035,0,0,0,"Streptococcus oralis"
"Blautia hydrogenotrophica",19923,224694,0,0,0,77895,0,0,0,0,1066,0,0,0,101566,0,0,0,0,0,0,64769,0,30869,460581,0,0,0,10073,2852,3460,0,0,0,2585,0,125,"Blautia hydrogenotrophica"
"Anaerotignum lactatifermentans",18230,701531,0,0,0,3545771,8542,153992,0,0,0,0,0,0,374887,16712,0,277445,95209,36304,0,0,29802,103952,0,0,0,0,0,180213,106469,191597,315914,104278,0,0,0,"Anaerotignum lactatifermentans"
"Bifidobacterium catenulatum",18044,0,68331,17091,0,0,65339,44807,7105,6276,263,25356,0,0,0,39200,72766,0,0,0,2912,0,20410,186576,0,153626,0,0,8665,0,0,0,0,0,0,0,9601,"Bifidobacterium catenulatum"
"Intestinibacter bartlettii",17423,169897,0,24495,0,2778,5616,138273,45067,45837,1484,11011,6263,0,8739,0,214127,0,0,0,0,7932,2449,0,28427,143306,0,1229,0,3748,0,0,0,0,0,0,0,"Intestinibacter bartlettii"
"[Clostridium] innocuum",14738,93207,19217,0,7114,11812,0,14962,701,2785,0,0,0,0,6024,1442,176886,31633,18837,149090,2029,106731,4434,10687,373447,2225,131675,11380,5830,174207,3738,5168,547156,56558,0,4431,0,"[Clostridium] innocuum"
"Streptococcus parasanguinis",10173,23391,19667,0,11875,7754,3890,46048,0,0,0,0,202,0,26202,375499,53202,26257,2414370,32716,971981,8456,52069,0,26601,18357,18589,21976,4199,23249,16862,276536,0,17430,5518,6175,1125,"Streptococcus parasanguinis"
"Blautia coccoides",9624,0,0,0,0,164,0,0,0,0,0,0,0,0,27495,0,229606,950,0,0,0,23141,0,0,0,0,28855,0,0,0,0,45671,43563,0,0,0,0,"Blautia coccoides"
"Dielma fastidiosa",9586,2146,1997,1230,18588,15888,740,7036,0,0,0,0,0,0,53751,520,0,0,0,4194,0,0,0,3301,0,0,0,0,812,1388,0,4582,3983,0,0,0,0,"Dielma fastidiosa"
"Phocaeicola vulgatus",9316,206739,2813358,1292214,1843958,143041,7138323,221559,95667,63566,710429,49434,569445,13476888,2681765,0,32178,660342,0,358650,509560,2032539,100985,459552,4219788,567377,2789297,6575009,456202,1411545,720734,244655,327160,7085469,1037082,69767,2039,"Phocaeicola vulgatus"
"Clostridium sp. CAG:58",8733,446107,30385,100086,0,261603,53420,216035,0,0,309488,27174,30118,343590,0,44349,737085,362696,32251,22421,125044,1295758,43329,213119,81793,68614,0,114392,46364,339449,0,163690,117930,113812,102119,31630,528,"Clostridium sp. CAG:58"
"Blautia obeum",7850,2316186,319343,16956,313715,244810,9955,100660,104961,88794,0,23952,46701,573290,0,439141,0,5733,581842,259896,602885,18151,286796,193598,1051291,83532,0,13083,122751,0,41850,0,0,0,89320,550015,50904,"Blautia obeum"
"Eisenbergiella massiliensis",6828,335024,0,0,94371,53540,0,0,33105,34581,0,0,0,31224,79349,0,367857,0,0,0,0,0,2440,4026,0,0,0,0,0,0,392,5710,21692,0,0,10512,0,"Eisenbergiella massiliensis"
"Ruthenibacterium lactatiformans",6651,178366,11118,2171,359333,661910,39149,12546,213353,181442,8438,16155,33930,579858,127320,11103,3157372,108431,10940,32774,24940,3701598,95187,119387,818573,10351,284305,2552,240652,42683,5582,107818,1978569,7718,41101,136221,76886,"Ruthenibacterium lactatiformans"
"Adlercreutzia equolifaciens",9683,225452,0,0,94717,39242,0,0,0,0,30741,103186,0,102868,20480,18964,0,18815,0,0,2927,0,10830,41164,0,0,0,0,15009,0,0,0,820,0,65464,167571,520939,"Adlercreutzia equolifaciens"
"Ruminococcus bromii",5127,10000412,1450667,2535,7313266,14298148,1379322,32580,6380938,5080105,0,1938235,0,0,0,3412378,0,0,0,5437537,0,0,10012437,5735148,2662037,790,1088,2189373,10314311,1349,3721289,1026,956,0,4958957,8550073,75479,"Ruminococcus bromii"
"Butyricicoccus pullicaecorum",4603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57411,0,0,0,0,"Butyricicoccus pullicaecorum"
"Enorma massiliensis",4599,0,0,0,0,0,0,1656,0,0,236,13529,622,1965,0,303,3716,1585,0,0,998,2076,0,319,0,0,0,0,0,0,1248,0,0,0,0,4753,1824,"Enorma massiliensis"
"Phocaeicola plebeius",4282,3548,0,0,0,0,0,165282,0,0,0,0,81297,0,0,0,3911964,0,0,0,0,34431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phocaeicola plebeius"
"Actinomyces sp. HMSC035G02",3910,0,0,0,0,0,0,1227,0,0,0,0,0,0,0,0,11701,0,738,8953,1442,0,0,0,0,0,0,0,0,252,0,4958,3194,2452,0,0,0,"Actinomyces sp. HMSC035G02"
"Actinomyces oris",3488,6236,0,0,0,0,0,0,0,0,0,14271,0,0,0,0,0,18782,0,6071,0,0,0,0,13744,0,1699,0,0,0,0,0,0,1567,0,0,0,"Actinomyces oris"
"Schaalia odontolytica",3323,0,0,0,0,0,0,6665,0,0,0,10032,0,0,0,0,10893,2197,8057,6026,10174,0,0,0,0,0,1450,0,0,0,0,612,5364,0,0,0,0,"Schaalia odontolytica"
"Actinomyces sp. oral taxon 181",3192,0,0,0,0,0,0,5790,0,0,0,0,0,0,0,0,3716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinomyces sp. oral taxon 181"
"Bacteroides stercoris",2960,7840,0,1015096,1693378,0,5115179,24715,26497,31095,40181,29790,40078,394938,1984147,479634,0,0,65254,1869,71874,327093,28562,84634,2832593,155653,4308780,3110159,67502,873243,2005069,239541,5775576,0,407682,4563,1306,"Bacteroides stercoris"
"Actinomyces graevenitzii",2521,0,0,0,0,0,0,11285,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,0,"Actinomyces graevenitzii"
