"","SZAXPI003409-8","SZAXPI003410-3","SZAXPI003411-6","SZAXPI003412-1","SZAXPI003413-4","SZAXPI003414-3","SZAXPI003415-12","SZAXPI003416-4","SZAXPI003417-4","SZAXPI003418-8","SZAXPI003419-6","SZAXPI003420-4","SZAXPI003421-5","SZAXPI003422-11","SZAXPI003423-8","SZAXPI003424-12","SZAXPI003425-1","SZAXPI003426-11","SZAXPI003427-1","SZAXPI003428-6","SZAXPI003429-3","SZAXPI003430-5","SZAXPI003431-1","SZAXPI003432-12","SZAXPI003433-7","SZAXPI003434-7","SZAXPI003435-11","SZAXPI003436-7","SZAXPI003437-3","SZAXPI015209-133","SZAXPI015210-17","SZAXPI015211-166","SZAXPI015212-113","SZAXPI015213-15","SZAXPI015214-19","SZAXPI015215-20","SZAXPI015216-169","SZAXPI015217-140","SZAXPI015218-16","SZAXPI015219-129","SZAXPI015220-136","SZAXPI015221-142","SZAXPI015222-123","SZAXPI015223-158","SZAXPI015224-13","SZAXPI015225-18","SZAXPI015226-14","SZAXPI015227-13","SZAXPI015228-14","SZAXPI015229-15","SZAXPI015230-16","SZAXPI015231-17","SZAXPI015232-18","SZAXPI015233-19","SZAXPI015234-20","SZAXPI015235-21","SZAXPI015237-23","SZAXPI015238-24","SZAXPI015239-25","SZAXPI015240-26","SZAXPI015241-27","SZAXPI015242-30","SZAXPI015243-31","SZAXPI015244-32","SZAXPI015245-33","SZAXPI015246-34","SZAXPI015247-35","SZAXPI015248-36","SZAXPI015249-37","SZAXPI015250-39","SZAXPI015251-41","SZAXPI015252-43","SZAXPI015253-44","SZAXPI015254-45","SZAXPI015255-46","SZAXPI015256-47","SZAXPI015257-56","SZAXPI015258-57","SZAXPI015259-62","SZAXPI015260-74","SZAXPI015261-75","SZAXPI015262-79","SZAXPI015263-84","SZAXPI015264-87","SZAXPI015265-88","SZAXPI015266-89","SZAXPI015267-102","SZAXPI015268-109","SZAXPI015269-94","SZAXPI015270-90","SZAXPI015271-93","SZAXPI015272-108","SZAXPI015273-95","SZAXPI015274-111","SZAXPI017451-16","SZAXPI017452-17","SZAXPI017453-19","SZAXPI017454-20","SZAXPI017455-21","SZAXPI017456-23","SZAXPI017457-24","SZAXPI017458-25","SZAXPI017459-26","SZAXPI017460-27","SZAXPI017461-32","SZAXPI017462-33","SZAXPI017463-36","SZAXPI017464-37","SZAXPI017465-43","SZAXPI017466-84","SZAXPI017467-87","SZAXPI017468-88","SZAXPI017580-90","SZAXPI017581-93","SZAXPI017582-94","SZAXPI017583-102","SZAXPI017584-108","SZAXPI017585-109","SZAXPI017586-111","SZAXPI017587-113","SZAXPI017588-123","SZAXPI017589-133","SZAXPI017590-136","SZAXPI017591-140","SZAXPI017592-142","SZAXPI017593-158","SZAXPI017594-166","SZAXPI017595-169","FeatureID"
"Akkermansia muciniphila",15498429,5792156,7568,2694082,7488262,2178,1318,1087,3778,205717,789,10253,14142,3883,2938,7504254,49733,31375,2241478,40795008,2127,97148,173,3018,208,273759,466893,269422,62425,0,0,2088,0,0,0,3769,3968506,14376820,161880,0,0,40276,0,0,16133,6777678,1030026,315212,0,0,18090,1903528,0,0,2785295,0,0,0,0,235655,0,0,6762,0,37429,1307,355897,0,0,120062,762512,10957,0,0,282255,138323,0,186893,0,0,175934,0,1054780,0,0,0,17368,0,388677,52605,10848,0,0,0,0,0,5202576,2931,0,0,0,0,0,0,2481352,0,0,0,10715894,840659,649,0,13168,7272056,0,732,2794,1694906,0,144199,0,0,12814,75167,956486,0,0,23284,"Akkermansia muciniphila"
"Escherichia coli",12256760,181905,201779,456337,129450,1031082,6012508,341824,22449829,4185513,5274,121525,1882225,476368,85254,81737,5468584,16390239,524277,1479064,256276,170786,139646,47305265,524665,487677,315833,644834,3722486,98705,900737,435063,170130,14321,1454617,692775,27797,133553,774509,1772025,2821,30141,414868,5706,264983,185118,266443,1338168,102214,27123352,17597,999951,6200375,524688,3147430,750760,1180821,23030854,93709,263701,2585888,754713,26428613,3380835,0,113336,394375,363365,241570,97169,1063941,56642,1633940,252867,476738,45953,319904,77078,764750,25427192,399872,4177,130146,0,34586,2597,39935241,221831,292672,1057,8415,1851,65227,5711314,16809720,40292,4431147,288224,56150,6910126,41069,748405,1118,0,329381,7661,14953,3983,124817,55730,36705,0,0,1118575,476599,32317,371595,0,195665,2545550,4278160,17936,19773180,36893,1864667,100835,48037,23976992,"Escherichia coli"
"Faecalibacterium prausnitzii",2252556,2722746,489555,1880558,1479533,362298,2586,847,80155,379309,1006903,1249758,1697242,2793024,7220,226606,1572605,444631,118450,1694,1365451,4008499,1040781,259829,2960166,1417,543138,491176,611818,332429,2579372,736361,7545115,5343125,257147,3193997,438381,1140118,3563057,5334485,1983728,1887828,931976,4306689,15673208,3652785,1595497,8283434,121420,0,11105694,2658524,1054832,11347663,679846,8268505,1434,4109401,4728,2842969,3268982,8684863,1287159,1177930,2332089,16055063,2229755,10116730,1217533,1271477,2092478,4995498,3385226,0,3898043,81391,2337112,6653640,6720860,2687533,1749403,1732975,883014,3156753,2418996,3261521,1335847,2563732,5103654,1146052,2062643,1537222,7363240,3751141,29231,7612305,815517,704135,1262741,1147822,5389934,7409462,2364018,201352,502415,1607209,446122,281916,42978,2447503,2249182,731340,1148468,230375,0,845887,721751,358231,6681896,16119,6285152,1471036,1181316,4771010,2895492,2898237,5088247,19034,"Faecalibacterium prausnitzii"
"Phocaeicola vulgatus",2029746,42115,116573,1539218,3847552,5716,740002,14016734,6735139,383993,17956330,2036428,13895,1880049,7959146,1517893,6468,12350561,11782820,1681032,9216076,3914315,15576,298034,6745119,4541282,319791,613497,283588,7967478,13549255,3309860,331172,4138142,32421575,1670212,3629554,1894719,1396522,1122,244978,1562783,6059461,316622,294083,625931,1048087,487441,8547713,45486,6023282,3273632,12880,3650261,836732,2182776,19922369,924375,48674931,7105316,1136699,2566234,4204402,533312,1157658,3132,8178993,1846960,548,309898,9537709,1236069,442686,2655,5007114,15245027,928271,407040,3337056,3271646,3225043,8884485,1522679,4776361,3531,3503,498625,3979756,7187,6019678,3811744,9520413,2031848,6146132,0,0,2989967,822586,1583,3166,13925094,21659,1589734,2864354,4919622,7314171,1353835,10615632,329007,598095,1296384,473855,8972442,174016,15533692,14292183,2781342,16786862,958299,15210620,583824,321,7083,248479,20765,540330,1840876,4338204,"Phocaeicola vulgatus"
"Anaerostipes hadrus",1588215,101497,389183,515734,150378,440733,490549,0,11168,10653,554475,19098,202783,39716,1267816,1576498,1471623,132883,58852,8860,251731,2201203,19245,59052,0,4279328,303061,109905,10605069,7850,8526055,247543,3538856,670329,0,91361,800375,24554,437058,4938503,1866,194367,45524,461683,2458392,655407,83289,140789,2526696,79653,1049219,1484508,681809,2572062,1501528,10594,0,264907,118849,823571,127667,241040,157242,77019,278981,927702,268752,470322,96486,609299,272456,131871,363801,0,42942,39949,1725573,2658970,3858124,0,67072,325868,20033,456739,1708686,241159,36332,250143,1168259,515222,120677,99994,973940,0,3183,1175153,101651,25112,451034,331790,89794,336995,1654482,204880,107693,19756,136944,206175,186007,39971,42436,397379,231226,27152,0,85631,541,633308,439464,0,132907,382360,81672,5035490,281325,11616,568581,202542,"Anaerostipes hadrus"
"Alistipes putredinis",1536019,0,44133,1172457,2480793,5497,139323,0,1160223,880480,1655,2994514,2989345,1629147,242850,755,0,599021,2677258,0,3616,0,384859,0,1655913,1888634,4571823,1551,431,2062689,91613,400,11095,5421946,0,3507170,915064,4561567,5272147,0,16651,0,1945448,0,20342,3234652,3415865,649047,155,0,2074117,849667,0,0,716236,6554543,0,326982,0,0,868834,407341,0,1765995,658956,402228,0,22569,2604,3109790,0,460651,361737,0,2066625,652209,0,2096437,0,0,3930692,3881075,840472,2734070,2025139,0,660503,8933808,48399,1257444,0,1401997,741297,2462277,0,0,2348793,4467,0,0,0,33505,0,576910,4096963,1760748,0,0,430291,5042855,0,30948,6529,849421,0,1835529,2019573,20349,0,0,5241252,0,2931,1478625,0,75942,2588189,0,"Alistipes putredinis"
"Collinsella aerofaciens",1463169,8018,7785019,1336229,575648,4819,3191929,0,106734,456223,444299,283958,264954,1134317,16473,2145416,2241,201840,2062179,980,1518625,776576,6202,476494,5136,882,1391345,760204,3424000,41201,6534818,5046571,329,10370,4246104,2601805,2235579,195818,4980795,0,550577,1210172,738882,1881592,1600922,2257111,42178,1167359,4858241,280273,1211341,146432,0,1107145,2645495,621876,602518,689538,0,27228,338596,969918,0,586062,94105,0,60350,378333,3108,2207890,379,1083551,1238843,0,284557,0,629780,220263,1217460,723232,129235,899,332297,1225769,158378,56367,159968,360465,768663,181184,230788,0,742971,0,3744,844281,450051,717508,3921591,508340,7464,997912,1948837,4353,219114,85064,1251505,0,863,2070043,261589,335732,618601,1336691,374733,561593,135840,0,87900,234151,427967,426909,5177287,874863,7081277,629715,1637692,6733151,"Collinsella aerofaciens"
"Phascolarctobacterium succinatutens",1363929,0,70387,0,0,0,0,0,0,0,0,0,0,0,0,328,0,523498,0,0,0,0,0,0,0,0,50900,603,0,0,0,0,0,0,0,0,0,1088182,0,0,994769,0,0,0,4484,0,0,0,5888,0,0,0,0,0,0,0,0,1704770,0,600062,0,1120435,0,697245,1316773,0,0,0,0,184000,605892,0,597,0,0,0,331855,0,0,0,0,0,0,3241598,0,0,668550,0,0,0,0,0,5754215,0,0,0,0,130247,0,0,4176,1121825,0,0,0,0,0,0,0,0,0,204671,799221,190659,0,0,0,0,0,0,1030827,0,1105777,475282,0,0,0,0,"Phascolarctobacterium succinatutens"
"Clostridium sp. CAG:413",1147279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. CAG:413"
"Desulfovibrio piger",1009761,388044,43899,0,0,0,0,0,0,0,0,670007,0,625867,0,0,0,0,2262,0,0,0,0,0,261378,0,299958,0,0,0,3667,0,0,0,0,0,0,0,702576,0,121290,16761,0,0,299,434365,0,2271608,2254,0,0,0,0,0,277891,0,0,0,0,0,0,120660,715792,465299,0,0,0,0,0,272731,417671,0,0,0,72235,0,0,0,0,182690,569471,0,0,1535,0,0,345898,740464,761263,48897,0,0,0,0,0,0,0,0,0,0,0,86735,0,305694,0,0,0,0,0,0,0,0,0,60456,0,0,0,0,109897,0,0,126747,70779,216744,23466,187174,0,0,"Desulfovibrio piger"
